Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Alabamminella weddelensis,Amphicoryna sp.,Anomalinoides globulosus,Anomalinoides sp. A,Astrononion echolsi,Astrononion sp. indet.,Bigenerina sp.,Brizalina pusilla,Bulimina alazanensis,Buliminella parvula,Cassidulina sp. A,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. C,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Ehrenbergina histrix,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Glandulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides sp. indet.,Heronallenia sp.,Karreriella chapapotensis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides umbonifer,Nuttallides sp.,Oridorsalis umbonatus,Orthomorphina spp.,Paracassidulina sp.,Planulina costata,Planulina renzi,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pullenia sp. indet.,Pyrulina spp.,Quadrimorphina? sp.,Quinqueloculina sp.,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina sp.,Spiroplectammina spectabilis,Textularia spp.,Triloculina sp.,Trochamminas? sp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Uvigerina peregrina pradyiana,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,A,"21X-cc, 20-25 cm",184.81,M,LB-A,,,,F,R,,,,R,,,,,,,,,,R,,R,R,,,,,,,,,R,,R,R,R,,R,,,,,R,R,,,,,,R,R,,F,,,,,,,,R,,R,,,,,,,R,,,F,,,,,,,,,A,R,,,A,cc,21,X,20,25,U1336,,,320-U1336A-21X-cc-nan,399281868428326f698ec28bc71ca3c5
320,A,"22X-cc, 13-18 cm",192.75,M,LB-A,R,,,R,,,,,,,,,,,,R,,R,R,,,R,,,,,,,,,,,D,,R,R,R,R,R,,,,R,,,,,,R,,,A,,,,,R,,,,,,,,R,R,,,,R,,R,,,,,,,,,R,,,,R,cc,22,X,13,18,U1336,,,320-U1336A-22X-cc-nan,339ac135a57e72c91ad8bb7e8c97bc8e
320,A,"23X-cc, 25-30 cm",202.18,M,LB-A,,,,R,A,R,,,,,R,,,,,,,R,,R,R,,,,,,,,,,,,A,,F,,R,,R,,R,,,,,,,,,F,,F,,,,,,R,,,,,,,,,R,,,,,R,,,,,,,,,F,,R,,F,cc,23,X,25,30,U1336,,,320-U1336A-23X-cc-nan,7f1e5d18b1ddb96cfd0524e1f5509a0d
320,A,"24X-cc, 35-40 cm",209.65,M,LB-A,,,,,R,,,,,,F,,R,,,,,R,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,A,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,R,,,,F,cc,24,X,35,40,U1336,,,320-U1336A-24X-cc-nan,5927075c9e7ef2adac1241eef280025b
320,A,"25X-cc, 41-46 cm",216.94,M,LB-A,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,F,,R,F,,,,,,,,R,,,,,,R,,A,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,R,cc,25,X,41,46,U1336,,,320-U1336A-25X-cc-nan,1b8689ab8cb0fd9c0ce713a99c70fd2b
320,A,"26X-cc, 33-38 cm",237.81,M,LB-A,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,A,R,R,,,R,R,,,,,,,,,,,,,F,,R,,,,,,,,R,,,,,R,,,,,R,,,R,,,,,,R,,,,R,cc,26,X,33,38,U1336,,,320-U1336A-26X-cc-nan,ccaa21db00ec3c3788599d0338aec1ec
320,A,"27X-cc, 25-30 cm",243.81,M,LB-A,,,,,R,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,R,,,,R,R,R,,,,,,,,,,,,,R,,,,,,,,R,R,R,,,,,R,,,,,R,,,R,,,,,,,,R,,R,cc,27,X,25,30,U1336,,,320-U1336A-27X-cc-nan,59b87b2b4bca20fff7f6cff1c7146ced
320,A,"28X-cc, 47-52 cm",254.55,M,LB-A,,,,R,F,,,,,R,,,,,,,,5,,,,,,,,,,,,,,,,F,R,R,,R,,,,,,,,,,,R,,,A,,,,,F,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,cc,28,X,47,52,U1336,,,320-U1336A-28X-cc-nan,b281b029a71ce7fd671cf909bf15ce84
320,A,"29X-cc, 48-53 cm",264.41,M,LB-A,,,,R,F,,,R,,R,,,,,,,,A,,R,,R,,,R,,,,,,,,A,F,R,,R,A,F,,,,,R,,,,,,R,,R,,,,,R,,,R,F,,,,,R,,,,,,R,,,,,,,,,,,,,,cc,29,X,48,53,U1336,,,320-U1336A-29X-cc-nan,adaf7f5cb63e730c35108b1a00044b60
320,A,"30X-cc, 55-60 cm",264.48,M,LB-A,,,,F,,,,D,,,,,,,,,,R,,,R,,,,,,,,,,,,F,F,,R,,F,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,R,,,,R,cc,30,X,55,60,U1336,,,320-U1336A-30X-cc-nan,1aa23f20dce8f985df1334f1377cdf43
320,A,"31X-cc, 33-38 cm",274.59,M,LB-A,,,,R,,,,,,,R,,,,R,R,,F,,,R,R,,,,,,,,,R,,A,R,R,R,R,R,F,,,,,R,,,,R,,,,A,,,,,R,,,R,,,R,,,R,R,,,,,R,R,,,,,,R,,R,,,,,cc,31,X,33,38,U1336,,,320-U1336A-31X-cc-nan,3e7618b5ce4ea20564baf5a2560acf45
320,A,"32X-cc, 38-43 cm",283.32,P,LB-A,,,,R,,F,,,,,,,,,R,R,,A,,,F,F,,,,,,,,,,,F,,F,,R,F,,R,,,,,,,,,R,,,A,,,,,R,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,F,cc,32,X,38,43,U1336,,,320-U1336A-32X-cc-nan,673d1307f1dd798926e1b619e5d9ebc7
320,A,"33X-cc, 70-75 cm",291.27,P,LB-A,,,,R,,,,,,,,,,,F,R,,A,,,,,,,,,,,,,,,R,,,R,,R,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,cc,33,X,70,75,U1336,,,320-U1336A-33X-cc-nan,dc6bf99760945349582f80e8ac9e3b83
320,A,"34X-cc, 27-32 cm",294.10,M,LB-A,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,cc,34,X,27,32,U1336,,,320-U1336A-34X-cc-nan,b46b78eceb03bf42095ba142b397d9ae
320,A,"35X-cc, 37-40 cm",299.61,M,LB-A,,,,R,R,R,,,,,,,,,,R,,A,,,,R,,,,,R,,,,,,A,F,R,R,,R,F,,,,,,,,,,R,,,A,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,cc,35,X,37,40,U1336,,,320-U1336A-35X-cc-nan,a8fc0d66ccf7e0928a8c2d2d57b8ed77
