Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431D-16H-CC-PAL-NANNO,0,5,144.13,144.18,NN16 [G12],G [P33],C [A12],C [A89],F [A89],,,,,,,,,,,C [A89],,,,,,,,,,,C [A89],,,F [A89],C [A89],R [A89],R [A89],,,A [A89],F [A89],R [A89],,,,F [A89],C [A89],,F [A89],,C [A89],,,,F [A89],F [A89],,R [A89],,,,349,U1431,D,16,H,CC,P
349-U1431D-17H-CC-PAL-NANNO,0,5,153.56,153.61,NN16 [G12],M [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,CC,P
349-U1431D-18H-4-W 60/61-NANNO,0,1,157.47,157.48,NN16 [G12],M [P33],A [A12],,F [A89],,,,,,,,,F [A89],,C [A89],,,,,,,,,,,C [A89],,,F [A89],,C [A89],,,,,,C [A89],,,,F [A89],C [A89],,,,A [A89],,,,,,,,,,,349,U1431,D,18,H,4,W
349-U1431D-18H-CC-PAL-NANNO,0,0,162.0,162.0,NN16 [G12],G [P33],A [A12],C [A89],F [A89],,,,,,,,,,,C [A89],,,,,,,,,,,C [A89],,,,C [A89],R [A89],R [A89],,,D [A89],F [A89],,,,,F [A89],C [A89],,,,C [A89],,,,R [A89],,,,,,,349,U1431,D,18,H,CC,P
349-U1431D-19H-CC-PAL-NANNO,0,7,168.8,168.87,NN16 [G12],M [P33],C [A12],,,,,,,,,,,,,C [A89],,,,,,,,,,,C [A89],,,,C [A89],R [A89],,,,C [A89],,,,,,,F [A89],,,,,,,,,,,,,,,349,U1431,D,19,H,CC,P
349-U1431D-20X-CC-PAL-NANNO,0,4,177.9,177.94,NN16 [G12],G [P33],A [A12],C [A89],F [A89],,,,F [A89],,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],D [A89],C [A89],F [A89],,,F [A89],R [A89],D [A89],,F [A89],R [A89],F [A89],,,,,R [A89],,F [A89],,,,349,U1431,D,20,X,CC,P
349-U1431D-21X-CC-PAL-NANNO,0,5,188.3,188.35,NN16 [G12],G [P33],A [A12],C [A89],C [A89],,,,C [A89],,,,,,,C [A89],,,,,,,,,,,C [A89],,,,C [A89],C [A89],F [A89],,,A [A89],C [A89],F [A89],,,,R [A89],C [A89],,F [A89],,R [A89],,,,,,,,,,,349,U1431,D,21,X,CC,P
349-U1431D-22X-CC-PAL-NANNO,0,5,197.84,197.89,NN16 [G12],M [P33],R [A12],R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,C [A89],,F [A89],,,,349,U1431,D,22,X,CC,P
349-U1431D-23X-CC-PAL-NANNO,0,5,207.56,207.61,NN16 [G12],P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,23,X,CC,P
349-U1431D-24X-CC-PAL-NANNO,0,5,217.07,217.12,NN15 [G12],G [P33],A [A12],,F [A89],,,,,,,C [A89],,,,C [A89],,,,,,,,,,,C [A89],,,R [A89],,C [A89],,R [A89],C [A89],,,,,,,C [A89],A [A89],,,,A [A89],,,,,,,,,,,349,U1431,D,24,X,CC,P
349-U1431D-25X-CC-PAL-NANNO,0,5,226.57,226.62,NN15 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,25,X,CC,P
349-U1431D-27X-CC-PAL-NANNO,0,5,245.87,245.92,NN14 [G12],G [P33],A [A12],,F [A89],,,,,,,F [A89],,,,C [A89],,,,,,,,,,,C [A89],,,F [A89],,C [A89],,,C [A89],A [A89],,,,,,C [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,27,X,CC,P
349-U1431D-28X-CC-PAL-NANNO,0,5,255.38,255.43,NN13 [G12],G [P33],A [A12],,F [A89],,,,,,,F [A89],,,,C [A89],,,,,,,,,,,C [A89],,,F [A89],,C [A89],,,C [A89],,,,,,,C [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,28,X,CC,P
349-U1431D-29X-CC-PAL-NANNO,0,5,265.21,265.26,NN13 [G12],M [P33],A [A12],,C [A89],,,,,,,F [A89],,,,C [A89],,,,,,,,,,,F [A89],,,F [A89],,C [A89],,,C [A89],,,,,,,C [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,29,X,CC,P
349-U1431D-30X-CC-PAL-NANNO,0,5,270.38,270.43,NN13 [G12],M [P33],A [A12],,C [A89],,,,,,,R [A89],,,,C [A89],,,,,,,,,,,F [A89],,,F [A89],,C [A89],,,C [A89],,,,,,,C [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,30,X,CC,P
349-U1431D-31X-2-W 110/111-NANNO,0,1,277.4,277.41,NN12 [G12],M [P33],A [A12],,C [A89],,,,,,,,,R [A89],,F [A89],,,,,,,,,,,C [A89],,,,,F [A89],,F [A89],,,C [A89],,,,,C [A89],C [A89],A [A89],,,A [A89],,,,,,R [A89],,,,,349,U1431,D,31,X,2,W
349-U1431D-31X-CC-PAL-NANNO,0,5,284.6,284.65,NN12 [G12],M [P33],A [A12],,R [A89],,,,,,,F [A89],,F [A89],,C [A89],,,,,,,,,,,C [A89],,,C [A89],,F [A89],,F [A89],C [A89],,,,,R [A89],,F [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,31,X,CC,P
349-U1431D-32X-CC-PAL-NANNO,0,5,294.15,294.2,NN12 [G12],M [P33],A [A12],C [A89],R [A89],,,,F [A89],,,,,R [A89],,C [A89],,,,,,,,,,,C [A89],,,F [A89],C [A89],F [A89],,,R [A89],C [A89],C [A89],,,,R [A89],F [A89],C [A89],,R [A89],,A [A89],,,,R [A89],R [A89],,,,,,349,U1431,D,32,X,CC,P
349-U1431D-33X-CC-PAL-NANNO,0,5,298.56,298.61,NN12 [G12],M [P33],A [A12],F [A89],R [A89],,,,F [A89],,,,,R [A89],,F [A89],,,,,,,,,,,C [A89],,,F [A89],F [A89],F [A89],,,,F [A89],F [A89],,,,,F [A89],C [A89],,R [A89],,A [A89],,,,,,,F [A89],,,,349,U1431,D,33,X,CC,P
349-U1431D-34X-CC-PAL-NANNO,0,5,313.51,313.56,NP11 [G12],M [P33],C [A12],F [A89],R [A89],,F [A89],,F [A89],F [A89],,,,R [A89],,F [A89],,,,,,,,,,,C [A89],,,C [A89],C [A89],F [A89],,,F [A89],C [A89],F [A89],,,,C [A89],F [A89],C [A89],,R [A89],F [A89],C [A89],,,,R [A89],R [A89],,F [A89],,,,349,U1431,D,34,X,CC,P
349-U1431D-35X-CC-PAL-NANNO,0,5,317.65,317.7,NN11 [G12],M [P33],F [A12],F [A89],F [A89],,F [A89],,,,,,,R [A89],,F [A89],,,,,,,,,,,C [A89],,,C [A89],C [A89],F [A89],,,F [A89],F [A89],R [A89],,,,,F [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,35,X,CC,P
349-U1431D-36X-CC-PAL-NANNO,0,5,329.77,329.82,NN11 [G12],M [P33],F [A12],R [A89],R [A89],,R [A89],,,,,,,R [A89],,R [A89],,,,,,,,,,,C [A89],,,C [A89],F [A89],R [A89],,,R [A89],F [A89],R [A89],,,,F [A89],R [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,36,X,CC,P
349-U1431D-37X-CC-PAL-NANNO,0,5,334.65,334.7,NN11 [G12],M [P33],F [A12],R [A89],R [A89],,,,,,,,,R [A89],,R [A89],,,,,,,,,,,C [A89],,,C [A89],,R [A89],,,F [A89],F [A89],R [A89],,,,,R [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,37,X,CC,P
349-U1431D-38X-CC-PAL-NANNO,0,5,346.72,346.77,NN11 [G12],M [P33],F [A12],F [A89],F [A89],,F [A89],,F [A89],,F [A89],R [A89],,F [A89],,R [A89],,,,,,,,,,,C [A89],,,F [A89],F [A89],R [A89],,,R [A89],C [A89],R [A89],,,,R [A89],F [A89],C [A89],C [A89],R [A89],R [A89],C [A89],,,,,F [A89],R [A89],,,,,349,U1431,D,38,X,CC,P
349-U1431D-39X-CC-PAL-NANNO,0,5,361.67,361.72,NN11 [G12],M,A [A12],F [A89],F [A89],,F [A89],,R [A89],,R [A89],R [A89],,F [A89],,R [A89],,,,,,,,,,,C [A89],,,C [A89],F [A89],R [A89],,,R [A89],C,R [A89],,,,R [A89],C [A89],C [A89],A [A89],F [A89],F [A89],C [A89],,,,,R [A89],R [A89],,,,,349,U1431,D,39,X,CC,P
349-U1431D-40X-CC-PAL-NANNO,0,5,363.92,363.97,NN11 [G12],M [P33],C [A12],F [A89],,,,,F [A89],R [A89],R [A89],,,F [A89],,R [A89],,,,,,,,,,R [A89],C [A89],,,C [A89],F [A89],F [A89],,,R [A89],C [A89],R [A89],,,,R [A89],C [A89],C [A89],A [A89],R [A89],,C [A89],,,,,F [A89],R [A89],,,,,349,U1431,D,40,X,CC,P
349-U1431D-41X-CC-PAL-NANNO,0,5,378.81,378.86,NN11 [G12],M [P33],C [A12],F [A89],R [A89],,F [A89],,F [A89],R [A89],R [A89],,,F [A89],,R [A89],,,,,,,,,,,C [A89],,,C [A89],C [A89],F [A89],,,R [A89],C [A89],R [A89],,,,R [A89],F [A89],C [A89],A [A89],F [A89],,C [A89],,,,R [A89],F [A89],R [A89],,,,,349,U1431,D,41,X,CC,P
349-U1431D-42X-CC-PAL-NANNO,0,5,385.13,385.18,NN11 [G12],M [P33],C [A12],,,,,,,,,,,R [A89],,R [A89],,,,,,,,,,,,R [A89],,C [A89],,F [A89],,,,,,,,,,F [A89],F [A89],,,,F [A89],,,,,,,,,,,349,U1431,D,42,X,CC,P
349-U1431D-43X-CC-PAL-NANNO,0,5,392.3,392.35,NN11 [G12],G [P33],C [A12],,,,,,,,,,,R [A89],,F [A89],,,,,,,,,,,,,,A [A89],,R [A89],,,,,,,,R [A89],,F [A89],A [A89],,,,A [A89],,,,,,,,,,,349,U1431,D,43,X,CC,P
349-U1431D-44X-CC-PAL-NANNO,0,5,399.01,399.06,NN11 [G12],M [P33],F [A12],,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,C [A89],,R [A89],,R [A89],R [A89],,,,,,,C [A89],A [A89],,,,A [A89],,,,,,R [A89],,,,,349,U1431,D,44,X,CC,P
349-U1431D-45X-CC-PAL-NANNO,0,5,406.18,406.23,NN11 [G12],G [P33],F [A12],,,,,,,,,,,R [A89],,,F [A89],,,,,,,R [A89],,,,,,F [A89],,F [A89],,,,,,,,,,F [A89],R [A89],,,,F [A89],,,,,,,,,,,349,U1431,D,45,X,CC,P
349-U1431D-46X-CC-PAL-NANNO,0,5,417.95,418.0,NN11 [G12],G [P33],C [A12],,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,C [A89],,R [A89],,,,,,,,,,A [A89],C [A89],,,,A [A89],,,,,,,,,,,349,U1431,D,46,X,CC,P
349-U1431D-47X-CC-PAL-NANNO,0,5,431.07,431.12,NN11 [G12],M [P33],A [A12],C [A89],F [A89],,F [A89],,F [A89],,R [A89],,,F [A89],,,,,,,,,,,,,C [A89],,,C,C [A89],R [A89],,,R [A89],C [A89],R [A89],,,,R [A89],R [A89],C [A89],A [A89],R [A89],,A [A89],,,,F [A89],,,F [A89],,,,349,U1431,D,47,X,CC,P
349-U1431D-48X-CC-PAL-NANNO,0,5,435.63,435.68,NN11 [G12],M [P33],F [A12],R [A89],,,R [A89],,,,,,,F [A89],,,,,,,,,,,,,F [A89],,,F [A89],F [A89],R [A89],,,,F [A89],,,,,,R [A89],R [A89],F [A89],,,F [A89],,,,R [A89],,,,,,,349,U1431,D,48,X,CC,P
349-U1431D-52X-CC-PAL-NANNO,0,5,470.95,471.0,NN11 [G12],M [P33],A [A12],,,,F [A89],,R [A89],R [A89],R [A89],,,C [A89],,R [A89],,,,,,,,,,,C [A89],,,C [A89],F [A89],F [A89],,,F [A89],C [A89],F [A89],,,,,C [A89],C [A89],A [A89],,,A [A89],,,,R [A89],,F [A89],F [A89],,,,349,U1431,D,52,X,CC,P
349-U1431D-53X-CC-PAL-NANNO,0,5,489.29,489.34,NN11 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,53,X,CC,P
349-U1431D-54X-CC-PAL-NANNO,0,5,489.34,489.39,NN11 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,54,X,CC,P
349-U1431D-55X-CC-PAL-NANNO,0,5,500.17,500.22,NN11 [G12],,B [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,55,X,CC,P
349-U1431D-58X-CC-PAL-NANNO,0,5,527.31,527.36,NN11 [G12],M [P33],F [A12],,,,,,,,,,,F [A89],,,R [A89],,,,,,,,,,,,,F [A89],,F [A89],,,R [A89],,,,,R [A89],,C [A89],C [A89],,,,C [A89],,,,,,,,,,,349,U1431,D,58,X,CC,P
349-U1431D-60X-CC-PAL-NANNO,0,5,554.09,554.14,NN11 [G12],P [P33],R [A12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,R [A89],,,,,,R [A89],,,,,349,U1431,D,60,X,CC,P
349-U1431D-61X-CC-PAL-NANNO,0,5,557.46,557.51,NN11 [G12],M [P33],R [A12],,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A89],C [A89],R [A89],,R [A89],,,,R [A89],,,,,,,349,U1431,D,61,X,CC,P
349-U1431D-62X-CC-PAL-NANNO,0,3,565.8,565.83,NN11 [G12],M [P33],C [A12],F [A89],F [A89],,R [A89],,,,,,,F [A89],,,,,,,,R [A89],,,,,F [A89],,,C [A89],F [A89],R [A89],,,F [A89],C [A89],R,,,,,F [A89],C [A89],C [A89],R [A89],F [A89],F [A89],,,,R [A89],,R [A89],,,,,349,U1431,D,62,X,CC,P
349-U1431D-63X-CC-PAL-NANNO,0,5,575.5,575.55,NN11 [G12],P [P33],A [A12],F [A89],C [A89],,R [A89],,,,,,,F [A89],R [A89],,R [A89],,,,,,,,,,F [A89],,,F [A89],F [A89],,,,F [A89],,,,,,,R [A89],C [A89],C [A89],,,D [A89],,,,,,,,,,,349,U1431,D,63,X,CC,P
349-U1431D-64X-CC-PAL-NANNO,0,5,585.49,585.54,NN11 [G12],M [P33],F [A12],R [A89],R [A89],,R [A89],,R [A89],R [A89],R [A89],,,C [A89],,,,,,,,,,,,,F [A89],,,F [A89],F [A89],R [A89],,,F [A89],F [A89],R [A89],,,,,F [A89],C [A89],C [A89],R [A89],,C [A89],,,,R [A89],,R [A89],,,,,349,U1431,D,64,X,CC,P
349-U1431D-66X-CC-PAL-NANNO,0,5,604.81,604.86,NN11 [G12],P [P33],F [A12],,,,,,,,,,,R [A89],,,,,,,,,,,,,,,,R [A89],,,,,,,,,,,,F [A89],,F [A89],,,C [A89],,,,,,R [A89],,,,,349,U1431,D,66,X,CC,P
