Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1447B-2H-4-A,0.0,150.0,9.9,11.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,4,A
353-U1447B-2H-5-A,0.0,150.0,11.4,12.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Foram-rich sandy bleb at 3-5 cm.,,,,353,U1447,B,2,H,5,A
353-U1447B-2H-6-A,0.0,110.0,12.9,14.0,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,6,A
353-U1447B-2H-7-A,0.0,48.0,14.0,14.48,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,7,A
353-U1447B-2H-CC-A,0.0,16.0,14.48,14.64,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,2,H,CC,A
353-U1447B-3H-1-A,0.0,130.5,14.9,16.205,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,1,A
353-U1447B-3H-1-A,130.5,136.0,16.205,16.26,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/2 (light gray),erosive,sharp,horizontal,,,vitric,abundant,5,,,,,,,,,353,U1447,B,3,H,1,A
353-U1447B-3H-1-A,136.0,150.0,16.26,16.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,1,A
353-U1447B-3H-2-A,0.0,150.0,16.4,17.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,2,A
353-U1447B-3H-3-A,0.0,150.0,17.9,19.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,3,A
353-U1447B-3H-4-A,0.0,150.0,19.4,20.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some small nodules along the section.,,,,353,U1447,B,3,H,4,A
353-U1447B-3H-5-A,0.0,150.0,20.9,22.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,One small nodule at 10-11 cm.,,,,353,U1447,B,3,H,5,A
353-U1447B-3H-6-A,0.0,120.0,22.4,23.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,6,A
353-U1447B-3H-7-A,0.0,70.0,23.6,24.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,7,A
353-U1447B-3H-CC-A,0.0,15.0,24.3,24.45,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1447,B,3,H,CC,A
