Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
371-U1510A-2H-2-A,0.0,50.0,6.5,7.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,2,A
371-U1510A-2H-2-A,50.0,73.0,7.0,7.23,,,,,foraminiferal,nannofossil ooze,with volcanic ash [2014],foraminiferal nannofossil ooze with volcanic ash,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,mottled with light brownish gray blebs,bioturbated boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1510,A,2,H,2,A
371-U1510A-2H-2-A,73.0,150.0,7.23,8.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,large burrows,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,2,A
371-U1510A-2H-3-A,0.0,3.0,8.0,8.03,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,3,A
371-U1510A-2H-3-A,3.0,39.0,8.03,8.39,,,,,foraminiferal,nannofossil ooze,with volcanic ash [2014],foraminiferal nannofossil ooze with volcanic ash,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,mottled with light brownish gray blebs,bioturbated boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1510,A,2,H,3,A
371-U1510A-2H-3-A,39.0,150.0,8.39,9.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,3,A
371-U1510A-2H-4-A,0.0,150.0,9.5,11.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,4,A
371-U1510A-2H-5-A,0.0,150.0,11.0,12.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,5,A
371-U1510A-2H-6-A,0.0,42.0,12.5,12.92,,,,,foraminiferal,nannofossil ooze,with volcanic ash [2014],foraminiferal nannofossil ooze with volcanic ash,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1510,A,2,H,6,A
371-U1510A-2H-6-A,42.0,125.0,12.92,13.75,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,6,A
371-U1510A-2H-7-A,0.0,70.0,13.81,14.51,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,7,A
371-U1510A-2H-CC-A,0.0,7.0,14.51,14.58,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,2,H,CC,A
371-U1510A-3H-1-A,0.0,145.0,14.5,15.95,,,,,,nannofossil ooze,,nannofossil ooze,,,N 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,grayish blebs,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,1,A
371-U1510A-3H-2-A,0.0,150.0,16.0,17.5,,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Grayish colored blebs present. A gradational color change occurs at 80cm, from bright white to relatively yellowish white.",,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,2,A
371-U1510A-3H-3-A,0.0,150.0,17.5,19.0,,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Grayish colored blebs present.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,3,A
371-U1510A-3H-4-A,0.0,150.0,19.0,20.5,,,,,,nannofossil ooze,,nannofossil ooze,,,2.5Y 8/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Grayish colored blebs present. From 68-85 cm a relatively darker interval is present.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,4,A
371-U1510A-3H-5-A,0.0,85.0,20.5,21.35,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Grayish colored blebs present.,uncertain boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,5,A
371-U1510A-3H-5-A,85.0,150.0,21.35,22.0,,,,,nannofossil-rich [2014b],foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,5Y 6/2 (light olive gray),bed,,,,,fine sand [W22_2],4,,,slight [B06],2,,,,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,3,H,5,A
371-U1510A-3H-6-A,0.0,5.0,22.0,22.05,,,,,,nannofossil ooze,,nannofossil ooze,,,5Y 6/2 (light olive gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,6,A
371-U1510A-3H-6-A,5.0,145.0,22.05,23.45,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Grayish colored blebs present.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,6,A
371-U1510A-3H-7-A,0.0,16.0,23.5,23.66,,,,,,nannofossil ooze,,nannofossil ooze,,,5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,7,A
371-U1510A-3H-7-A,16.0,24.0,23.66,23.74,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,curved boundary or contact,planar,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,7,A
371-U1510A-3H-7-A,24.0,37.0,23.74,23.87,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8 (white),,,,,,fine sand [W22_2],4,,,slight [B06],2,,curved boundary or contact,planar,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,7,A
371-U1510A-3H-7-A,37.0,61.0,23.87,24.11,,,,,,nannofossil ooze,,nannofossil ooze,,,5Y 6/2 (light olive gray),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,gradational,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,7,A
371-U1510A-3H-7-A,61.0,77.0,24.11,24.27,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,3,H,7,A
371-U1510A-4H-1-A,0.0,58.0,24.0,24.58,,,,,nannofossil-rich [2014b],foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,gley 1 7/10GY (light greenish grey),,,,,,silt [W22_1],2,,,slight [B06],2,,irregular boundary or contact,,diffuse,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,4,H,1,A
371-U1510A-4H-1-A,58.0,126.0,24.58,25.26,,,,,nannofossil-rich [2014b],foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,sharp,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,4,H,1,A
371-U1510A-4H-1-A,126.0,144.0,25.26,25.44,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,1,A
371-U1510A-4H-2-A,0.0,11.0,25.5,25.61,,,,,nannofossil-rich [2014b],foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,n 9 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,bioturbated boundary or contact,,sharp,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,4,H,2,A
371-U1510A-4H-2-A,11.0,117.0,25.61,26.67,,,,,nannofossil-rich [2014b],foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,sharp boundary or contact,,diffuse,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,4,H,2,A
371-U1510A-4H-2-A,117.0,149.0,26.67,26.99,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,2,A
371-U1510A-4H-2-A,149.0,152.0,26.99,27.02,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,2,A
371-U1510A-4H-3-A,0.0,22.0,27.02,27.24,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 8.5/1 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,3,A
371-U1510A-4H-3-A,22.0,44.0,27.24,27.46,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,3,A
371-U1510A-4H-3-A,44.0,88.0,27.46,27.9,,,,,nannofossil-rich [2014b],foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,5y 6/2 (light olive gray),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,A,4,H,3,A
371-U1510A-4H-3-A,88.0,150.0,27.9,28.52,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,3,A
371-U1510A-4H-4-A,0.0,15.0,28.52,28.67,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,4,A
371-U1510A-4H-4-A,15.0,150.0,28.67,30.02,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,4,A
371-U1510A-4H-5-A,0.0,151.0,30.02,31.53,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,5,A
371-U1510A-4H-6-A,0.0,107.0,31.53,32.6,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,6,A
371-U1510A-4H-7-A,0.0,67.0,32.65,33.32,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,7,A
371-U1510A-4H-CC-A,0.0,8.0,33.32,33.4,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,4,H,CC,A
371-U1510A-5H-1-A,0.0,145.0,33.5,34.95,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pyrite blebs are now common, often filling in the burrows.Pyrite bleb",,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,1,A
371-U1510A-5H-2-A,0.0,150.0,35.0,36.5,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pyrite blebs are now common, often filling in the burrows.",,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,2,A
371-U1510A-5H-3-A,0.0,150.0,36.5,38.0,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pyrite blebs are now common, often filling in the burrows.",,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,5,H,3,A
371-U1510A-5H-4-A,0.0,151.0,38.0,39.51,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pyrite blebs are now common, often filling in the burrows.",,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,4,A
371-U1510A-5H-5-A,0.0,150.0,39.51,41.01,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pyrite blebs are now common, often filling in the burrows.",,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,5,A
371-U1510A-5H-6-A,0.0,8.0,41.01,41.09,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pyrite blebs are now common, often filling in the burrows.",,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-6-A,8.0,13.0,41.09,41.14,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-6-A,13.0,40.0,41.14,41.41,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,irregular boundary or contact,,sharp,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-6-A,40.0,57.0,41.41,41.58,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,sharp boundary or contact,,sharp,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-6-A,57.0,79.0,41.58,41.8,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,gradational boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-6-A,79.0,83.0,41.8,41.84,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,sharp boundary or contact,,sharp,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-6-A,83.0,145.0,41.84,42.46,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,6,A
371-U1510A-5H-7-A,0.0,55.0,42.51,43.06,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,7,A
371-U1510A-5H-CC-A,0.0,10.0,43.06,43.16,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,5,H,CC,A
371-U1510A-6H-1-A,0.0,145.0,43.0,44.45,,,,,,nannofossil ooze,,nannofossil ooze,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,soupy drilling disturbance to 36 cm,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,6,H,1,A
371-U1510A-6H-2-A,0.0,150.0,44.5,46.0,,,,,,nannofossil ooze,,nannofossil ooze,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,6,H,2,A
371-U1510A-6H-3-A,0.0,151.0,46.0,47.51,,,,,,nannofossil ooze,,nannofossil ooze,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,6,H,3,A
371-U1510A-6H-4-A,0.0,151.0,47.51,49.02,,,,,,nannofossil ooze,,nannofossil ooze,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,A,6,H,4,A
371-U1510A-6H-5-A,0.0,151.0,49.02,50.53,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,6,H,5,A
371-U1510A-6H-6-A,0.0,140.0,50.53,51.93,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,sponge spicules,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,6,H,6,A
371-U1510A-6H-7-A,0.0,54.0,51.98,52.52,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,6,H,7,A
371-U1510A-6H-CC-A,0.0,8.0,52.52,52.6,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,n 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,6,H,CC,A
371-U1510A-7H-1-A,0.0,145.0,52.5,53.95,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Soupy drilling disturbance to 15 cm,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,1,A
371-U1510A-7H-2-A,0.0,151.0,54.0,55.51,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Rare pyrite blebs and light gray (2.5Y 7/1) blebs throughout.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,2,A
371-U1510A-7H-3-A,0.0,151.0,55.51,57.02,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Rare pyrite blebs and light gray (2.5Y 7/1) blebs throughout.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,3,A
371-U1510A-7H-4-A,0.0,150.0,57.02,58.52,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Rare pyrite blebs and light gray (2.5Y 7/1) blebs throughout. Cm size pyrite noduleat 85 cm.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,A,7,H,4,A
