Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1421A-2H-3-A,0.0,150.0,9.8,11.3,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"sandst 1, 4 cm at 6 cm, subrounded",,,,,,341,U1421,A,2,H,3,A
341-U1421A-2H-4-A,0.0,145.0,11.3,12.75,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: siltstones (2mm to 3cm);
15-26cm: patches of silt",,,,,,341,U1421,A,2,H,4,A
341-U1421A-2H-4-A,145.0,150.0,12.75,12.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,2,H,4,A
341-U1421A-2H-5-A,0.0,37.0,12.8,13.17,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,28-31cm: sand patches,gradational contact,irregular,,,,341,U1421,A,2,H,5,A
341-U1421A-2H-5-A,37.0,150.0,13.17,14.3,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,shell fragment,,,"clasts: siltstones (up to ~1cm);
shell fragment @ 141cm (drug up from 150cm)",,,,,,341,U1421,A,2,H,5,A
341-U1421A-2H-6-A,0.0,135.0,14.3,15.65,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: siltstone (up to ~3.5cm), sandstone",,,,,,341,U1421,A,2,H,6,A
341-U1421A-2H-6-A,135.0,140.0,15.65,15.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,2,H,6,A
341-U1421A-2H-7-A,0.0,68.0,15.7,16.38,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,pebble [W22_2],subangular,,,,"clasts: sandstone, argillite(fragment)",,,,,,341,U1421,A,2,H,7,A
341-U1421A-2H-CC-A,0.0,12.0,16.38,16.5,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,,,,,,,341,U1421,A,2,H,CC,A
341-U1421A-2H-CC-A,12.0,17.0,16.5,16.55,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,2,H,CC,A
341-U1421A-3H-1-A,0.0,150.0,16.3,17.8,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],angular,,,,,,"mudstone breccia 1, siltst 1; mudstone breccia 5 cm at 7 cm, siltstone 4 cm at 101 cm;",,,,,,341,U1421,A,3,H,1,A
341-U1421A-3H-2-A,0.0,145.0,17.8,19.25,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],subangular,,,,,,"sandstone 6 cm at 26 cm, subangular; sandstone 5 cm, subangular, at 98 cm; sdst 2;",,,,,,341,U1421,A,3,H,2,A
341-U1421A-3H-2-A,145.0,150.0,19.25,19.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,3,H,2,A
341-U1421A-3H-3-A,0.0,62.0,19.3,19.92,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,3,H,3,A
341-U1421A-3H-3-A,62.0,150.0,19.92,20.8,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,3,H,3,A
341-U1421A-3H-4-A,0.0,145.0,20.8,22.25,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],,,,pebble [W22_2],subangular,,,,,,"sandstone 1.5 cm at 68 cm, siltstone 1.5 cm at 124 cm; siltst 1, sandst 1",,,,,,341,U1421,A,3,H,4,A
341-U1421A-3H-4-A,145.0,150.0,22.25,22.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,3,H,4,A
341-U1421A-3H-5-A,0.0,150.0,22.3,23.8,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],11,,,,,,,,,,,,,,,,341,U1421,A,3,H,5,A
341-U1421A-3H-6-A,0.0,69.0,23.8,24.49,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],10,,,,,,,,,,22-27cm: bowed sand lamina,gradational contact,,,,,341,U1421,A,3,H,6,A
341-U1421A-3H-6-A,69.0,116.0,24.49,24.96,silty,mud [Leg210],,silty mud ,,,,N 3 (very dark gray),,,present [A79],11,,,,,,,,,,,,,,,,341,U1421,A,3,H,6,A
341-U1421A-3H-6-A,116.0,121.0,24.96,25.01,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,3,H,6,A
341-U1421A-3H-7-A,0.0,64.0,25.01,25.65,silty,mud [Leg210],,silty mud ,,,,N 3 (very dark gray),,,present [A79],10,,,,,,,,,,,,,,,,341,U1421,A,3,H,7,A
341-U1421A-3H-CC-A,0.0,26.0,25.65,25.91,silty,mud [Leg210],,silty mud ,,,,N 3 (very dark gray),,,present [A79],8,,,,,,,,,,,,,,,,341,U1421,A,3,H,CC,A
341-U1421A-3H-CC-A,26.0,31.0,25.91,25.96,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,3,H,CC,A
341-U1421A-4H-1-A,0.0,145.0,25.8,27.25,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],rounded,pebble [W22_2],subrounded,,,,"3 cm (meta-sandstone) 3 cm elongate gneiss at 7 cm, 2 cm rounded sandstone at 22 cm; gneiss 1, sdast 1;",,,,,,341,U1421,A,4,H,1,A
341-U1421A-4H-CC-A,0.0,5.0,27.25,27.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,4,H,CC,A
341-U1421A-5H-CC-A,0.0,5.0,35.3,35.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,5,H,CC,A
341-U1421A-5H-CC-A,5.0,10.0,35.35,35.4,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,5,H,CC,A
341-U1421A-6H-1-A,0.0,142.0,44.8,46.22,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,pebble [W22_2],subangular,,,,"clasts: sandstone (~2cm), argillite;
many clast lithologies obscured by wire splitting",,,,,,341,U1421,A,6,H,1,A
341-U1421A-6H-1-A,142.0,150.0,46.22,46.3,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1421,A,6,H,1,A
341-U1421A-6H-2-A,0.0,145.0,46.3,47.75,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: sandstone (@42cm), mudstone;
many clast lithologies obscured by wire splitting",,,,,,341,U1421,A,6,H,2,A
341-U1421A-6H-2-A,145.0,150.0,47.75,47.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,6,H,2,A
341-U1421A-6H-3-A,0.0,145.0,47.8,49.25,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: sandstone(4cm), mudstone(3cm);
many clast lithologies obscured by wire splitting",,,,,,341,U1421,A,6,H,3,A
341-U1421A-6H-3-A,145.0,150.0,49.25,49.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,6,H,3,A
341-U1421A-6H-4-A,0.0,152.0,49.3,50.82,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,many clast lithologies obscured by wire splitting,,,,,,341,U1421,A,6,H,4,A
341-U1421A-6H-CC-A,0.0,5.0,50.82,50.87,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,6,H,CC,A
341-U1421A-7H-1-A,0.0,150.0,50.8,52.3,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],3,,,pebble [W22_2],rounded,granule [W22_2],,shell fragment,,,"sandstone 1.5 cm, rounded, at 8 cm, 2 granules; shell fragment at 125",,,,,,341,U1421,A,7,H,1,A
341-U1421A-7H-2-A,0.0,150.0,52.3,53.8,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],7,,,pebble [W22_2],,pebble [W22_2],,shell fragment,,,"argillie 1 cm at 103 cm, siltstone 1 cm at 135 cm; shell fragments at 99 and 131 cm",,,,,,341,U1421,A,7,H,2,A
341-U1421A-7H-3-A,0.0,150.0,53.8,55.3,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,shell fragment,,,shell fragment at 46 cm; slate clast 4 cm in WH at 83 cm; ,,,,,,341,U1421,A,7,H,3,A
341-U1421A-7H-4-A,0.0,140.0,55.3,56.7,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],4,,,granule [W22_2],,granule [W22_2],,shell fragment,,,"shell fragments at 105, 110 and 118 cm",,,,,,341,U1421,A,7,H,4,A
341-U1421A-7H-4-A,140.0,150.0,56.7,56.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,7,H,4,A
341-U1421A-7H-5-A,0.0,20.0,56.8,57.0,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,10Y 4/1 (dark greenish gray),,,present [A79],3,,,,,,,,,,,sharp contact,,,,,341,U1421,A,7,H,5,A
341-U1421A-7H-5-A,20.0,140.0,57.0,58.2,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: sandstone, quartzite; others obscured by wire cutting",,,,,,341,U1421,A,7,H,5,A
341-U1421A-7H-6-A,0.0,140.0,58.2,59.6,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,"clasts: siltstone, basalt, rhyolite; others obscured by wire cutting",,,,,,341,U1421,A,7,H,6,A
341-U1421A-7H-7-A,0.0,61.0,59.6,60.21,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,clasts: sandstone; others obscured by wire cutting,,,,,,341,U1421,A,7,H,7,A
341-U1421A-7H-CC-A,0.0,25.0,60.21,60.46,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,,,,,,,341,U1421,A,7,H,CC,A
341-U1421A-7H-CC-A,25.0,30.0,60.46,60.51,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,7,H,CC,A
341-U1421A-8H-1-A,0.0,150.0,60.3,61.8,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"sandst. 2, argillite 1; core half ""destroyed"" by splitting with  a wire; mud w. 20% sand
",,,,,,341,U1421,A,8,H,1,A
341-U1421A-8H-2-A,0.0,140.0,61.8,63.2,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"argillite 2, sdst. 3, mica shist 1; mud w. 20% sand",,,,,,341,U1421,A,8,H,2,A
341-U1421A-8H-2-A,140.0,150.0,63.2,63.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,8,H,2,A
341-U1421A-8H-3-A,0.0,150.0,63.3,64.8,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"siltst 2, sandst 1, basalt 1; mud w. 20% sand",,,,,,341,U1421,A,8,H,3,A
341-U1421A-8H-4-A,0.0,67.0,64.8,65.47,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,sandst 1; mud w. 20% sand,,,,,,341,U1421,A,8,H,4,A
341-U1421A-8H-CC-A,0.0,7.0,65.47,65.54,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,8,H,CC,A
341-U1421A-9H-1-A,0.0,150.0,65.5,67.0,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,cobble [W22_2],subrounded,,,,,,"sandstone(3), mica schist(1)",,,,,,341,U1421,A,9,H,1,A
341-U1421A-9H-2-A,0.0,140.0,67.0,68.4,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: basalt(3), siltstone(4), chert(1), sandstone(5), argillite(2), granite(2), metasandstone(1); up to 2.5cm",,,,,,341,U1421,A,9,H,2,A
341-U1421A-9H-2-A,140.0,150.0,68.4,68.5,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,9,H,2,A
341-U1421A-9H-3-A,0.0,152.0,68.5,70.02,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,shell fragment,,,"clasts: basalt(4), sandstone(7), siltstone(6), granitoid(3), argillite(1); up to 2cm;
shell fragment @ 8cm",,,,,,341,U1421,A,9,H,3,A
341-U1421A-9H-CC-A,0.0,23.0,70.02,70.25,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: siltstone(3), sandstone(4), basalt(1), granite(2)",,,,,,341,U1421,A,9,H,CC,A
341-U1421A-9H-CC-A,23.0,28.0,70.25,70.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,9,H,CC,A
341-U1421A-10H-1-A,0.0,54.0,70.2,70.74,silty,clast-rich diamict [M89m],,silty clast-rich diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"vein qtz 3, siltst 10, sdst 3, basalt 6;",,,,,,341,U1421,A,10,H,1,A
341-U1421A-10H-CC-A,0.0,9.0,70.74,70.83,,clast-rich diamict [M89m],,clast-rich diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,siltst 4,,,,,,341,U1421,A,10,H,CC,A
341-U1421A-10H-CC-A,9.0,13.0,70.83,70.87,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,10,H,CC,A
341-U1421A-11H-1-A,0.0,150.0,70.8,72.3,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"siltst 9, granite 3, basalt 7, rhyolite 2, sandst 4, vein qtz 5",,,,,,341,U1421,A,11,H,1,A
341-U1421A-11H-2-A,0.0,140.0,72.3,73.7,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: basalt(7), granitoid(2), sandstone(6), siltstone(9), argillite(2)",,,,,,341,U1421,A,11,H,2,A
341-U1421A-11H-2-A,140.0,150.0,73.7,73.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,11,H,2,A
341-U1421A-11H-3-A,0.0,101.0,73.8,74.81,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: argillite(2), basalt(6), sandstone(5), siltstone(6), granitoid(2)",,,,,,341,U1421,A,11,H,3,A
341-U1421A-11H-4-A,0.0,67.0,74.81,75.48,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: sandstone(6), basalt(4), siltstone(4), granitoid(1)",,,,,,341,U1421,A,11,H,4,A
341-U1421A-11H-CC-A,0.0,21.0,75.48,75.69,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: granitoid (3), sandstone(3), basalt(1)",,,,,,341,U1421,A,11,H,CC,A
341-U1421A-11H-CC-A,21.0,26.0,75.69,75.74,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,11,H,CC,A
341-U1421A-12H-1-A,0.0,150.0,75.5,77.0,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"granite 2, basalt 9, vein qtz 9, argillite 1, siltst 12, sandst 3",,,,,,341,U1421,A,12,H,1,A
341-U1421A-12H-2-A,0.0,150.0,77.0,78.5,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"sandst 5, siltst 3, argillite 1, granite 2, basalt 5, vein qtz 8",,,,,,341,U1421,A,12,H,2,A
341-U1421A-12H-3-A,0.0,120.0,78.5,79.7,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"sandst 2, siltst 2, basalt 4, granite 2, red siltst 1, mica shist 1, vein qtz 4",,,,,,341,U1421,A,12,H,3,A
341-U1421A-12H-4-A,0.0,53.0,79.7,80.23,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,12,H,4,A
341-U1421A-12H-CC-A,0.0,15.0,80.23,80.38,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,12,H,CC,A
341-U1421A-12H-CC-A,15.0,20.0,80.38,80.43,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,12,H,CC,A
341-U1421A-13H-1-A,0.0,140.0,80.2,81.6,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: basalt(3), siltstone(5), sandstone(8), metasandstone(1), laminated siltstone(1), gneiss(1), argillite(1), granitoid(4)",,,,,,341,U1421,A,13,H,1,A
341-U1421A-13H-1-A,140.0,150.0,81.6,81.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,13,H,1,A
341-U1421A-13H-2-A,0.0,140.0,81.7,83.1,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,shell fragment,,,"clasts: sandstone(6), gneiss(1), metasandstone(1), siltstone(7), marble(?);
shell fragment @ 44cm
",,,,,,341,U1421,A,13,H,2,A
341-U1421A-13H-CC-A,0.0,21.0,83.1,83.31,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: sandstone(3), silstone(3), many small granules",,,,,,341,U1421,A,13,H,CC,A
341-U1421A-13H-CC-A,21.0,26.0,83.31,83.36,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,13,H,CC,A
341-U1421A-14H-1-A,0.0,150.0,83.3,84.8,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 3 cm) of siltsonte, metasiltstone, granitoids, little greenstone; slighlty more clasts @ 83-85 cm; SS @ 83 cm: sandy silt, rounded volc. ash (green, brown, clean, angular)+ glauconite",,,,,,341,U1421,A,14,H,1,A
341-U1421A-14H-2-A,0.0,120.0,84.8,86.0,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 5 cm) of siltsonte, metasiltstone, granitoids",,,,,,341,U1421,A,14,H,2,A
341-U1421A-14H-3-A,0.0,55.0,86.0,86.55,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 3 cm) of siltstone, metasandstone, granitoids",,,,,,341,U1421,A,14,H,3,A
341-U1421A-14H-CC-A,0.0,19.0,86.55,86.74,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 1 cm) of siltstone, greenstone",,,,,,341,U1421,A,14,H,CC,A
341-U1421A-14H-CC-A,19.0,23.0,86.74,86.78,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1421,A,14,H,CC,A
341-U1421A-15H-1-A,0.0,37.0,86.7,87.07,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,mud matrix with sand; siltstone granules; 5 cm biotite gneiss @ 14-20 cm,,,,,,341,U1421,A,15,H,1,A
341-U1421A-15H-CC-A,0.0,25.0,87.07,87.32,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"mud matrix with sand; granules and pebbles (up to 1 cm): siltstone, granitoids, greenstone",,,,,,341,U1421,A,15,H,CC,A
341-U1421A-15H-CC-A,25.0,30.0,87.32,87.37,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1421,A,15,H,CC,A
