Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
374-U1525A-2H-1-A,138.0,138.0,9.98,9.98,,,,,,,,,,,,,shell fragment,,gradational boundary or contact,irregular,10-20 cm irregular gradational contact.,,,,374,U1525,A,2,H,1,A,,,
374-U1525A-2H-2-A,0.0,150.0,10.1,11.6,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 35-36, 37-40, 54-56, and 74 cm.",,,,374,U1525,A,2,H,2,A,,,
374-U1525A-2H-3-A,0.0,151.0,11.6,13.11,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 27, 34, 37, 66-67, 78, and 79-80 cm.",,,,374,U1525,A,2,H,3,A,,,
374-U1525A-2H-4-A,0.0,146.0,13.11,14.57,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 19-20, 22, 37-40, 63, and 141 cm.",,,,374,U1525,A,2,H,4,A,,,
374-U1525A-2H-5-A,0.0,66.0,14.62,15.28,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,sharp boundary or contact,irregular,"Lonestone at 6, 20, 36, and 72-75 cm. Irregular sharp color contact at 66-76 cm.",,,,374,U1525,A,2,H,5,A,,,
374-U1525A-2H-5-A,66.0,85.0,15.28,15.47,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,2.5y 5/3 (light olive brown),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,2,H,5,A,,,
374-U1525A-2H-5-A,85.0,151.0,15.47,16.13,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5y 3/2 (very dark grayish brown),,,,,,,,,,,"Metasedimentary, igneous, sedimentary. very stiff.",,,,374,U1525,A,2,H,5,A,,,
374-U1525A-2H-6-A,0.0,151.0,16.13,17.64,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,2,H,6,A,,,
374-U1525A-2H-6-A,77.0,79.0,16.9,16.92,,,,,lens or pod [BJ84],,,,,,,,,,,,Coarse snad pods.,,,,374,U1525,A,2,H,6,A,,,
374-U1525A-2H-7-A,0.0,73.0,17.64,18.37,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 13 cm.,,,,374,U1525,A,2,H,7,A,,,
374-U1525A-2H-CC-A,0.0,10.0,18.37,18.47,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,2.5Y 6/3 (light yellowish brown),,,,,,,,lonestone,,,Intermixed brownish yellow mud with dark grayish brown muddy diamict.,,,,374,U1525,A,2,H,CC,A,,,
374-U1525A-2H-CC-A,10.0,23.0,18.47,18.6,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,GLEY 1 6/10Y (greenish gray),,,,,,,,,inclined boundary or contact,,Inclined gradational contact.,,,,374,U1525,A,2,H,CC,A,,,
374-U1525A-2H-CC-A,23.0,35.0,18.6,18.72,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5y 3/2 (very dark grayish brown),,,,,,,,,,,,,,,374,U1525,A,2,H,CC,A,,,
374-U1525A-3H-1-A,0.0,150.0,18.1,19.6,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 0-7 (dragged), 105, 125-127 (dragged) cm.",,,,374,U1525,A,3,H,1,A,,,
374-U1525A-3H-2-A,0.0,130.0,19.6,20.9,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 8, 29, 44, 82, 110, and 133 cm.",,,,374,U1525,A,3,H,2,A,,,
374-U1525A-3H-2-A,130.0,151.0,20.9,21.11,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,3,H,2,A,,,
374-U1525A-3H-3-A,0.0,143.0,21.11,22.54,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 42, 61-63, 83-85, and 130 cm.",,,,374,U1525,A,3,H,3,A,,,
374-U1525A-3H-3-A,143.0,150.0,22.54,22.61,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,,,,,374,U1525,A,3,H,3,A,,,
374-U1525A-3H-4-A,0.0,145.0,22.61,24.06,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 13 and 136-140 cm.,,,,374,U1525,A,3,H,4,A,,,
374-U1525A-3H-5-A,0.0,151.0,24.11,25.62,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 0-3, 17, and 142 cm.",,,,374,U1525,A,3,H,5,A,,,
374-U1525A-3H-6-A,0.0,151.0,25.62,27.13,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 28-35 (meta sed) and 142 cm.,,,,374,U1525,A,3,H,6,A,,,
374-U1525A-3H-6-A,24.0,28.0,25.86,25.9,,,,,mottling [BJ80],,,,,,,,,,,,Olive gray mottling due to drilling disturbance?,,,,374,U1525,A,3,H,6,A,,,
374-U1525A-3H-7-A,0.0,62.0,27.13,27.75,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 13 cm.,,,,374,U1525,A,3,H,7,A,,,
374-U1525A-3H-CC-A,0.0,41.0,27.75,28.16,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,,,,,374,U1525,A,3,H,CC,A,,,
374-U1525A-4H-1-A,0.0,97.0,27.6,28.57,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 23-24, 48-50, and 93-94 cm.",,,,374,U1525,A,4,H,1,A,,,
374-U1525A-4H-CC-A,0.0,29.0,28.57,28.86,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,4,H,CC,A,,,
374-U1525A-5F-1-A,0.0,150.0,28.9,30.4,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with abundant clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with abundant clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 18 cm.,,,,374,U1525,A,5,F,1,A,,,
374-U1525A-5F-2-A,0.0,145.0,30.4,31.85,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with abundant clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with abundant clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 41 and 52 cm.,,,,374,U1525,A,5,F,2,A,,,
374-U1525A-5F-3-A,0.0,112.0,31.9,33.02,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with abundant clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with abundant clasts,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 11-13, 59-60, 68, and 105-107 cm.",,,,374,U1525,A,5,F,3,A,,,
374-U1525A-5F-4-A,0.0,56.0,33.02,33.58,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with abundant clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with abundant clasts,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,5,F,4,A,,,
374-U1525A-5F-CC-A,0.0,17.0,33.58,33.75,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with abundant clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with abundant clasts,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,5,F,CC,A,,,
374-U1525A-6F-1-A,0.0,150.0,33.6,35.1,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 114,,,,374,U1525,A,6,F,1,A,,,
374-U1525A-6F-2-A,0.0,150.0,35.1,36.6,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 141,,,,374,U1525,A,6,F,2,A,,,
374-U1525A-6F-3-A,0.0,107.0,36.6,37.67,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,"Lonestone at 4, 26, 48",,,,374,U1525,A,6,F,3,A,,,
374-U1525A-6F-4-A,0.0,56.0,37.67,38.23,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,lonestone,,,Lonestone at 3,,,,374,U1525,A,6,F,4,A,,,
374-U1525A-6F-CC-A,0.0,25.0,38.23,38.48,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,6,F,CC,A,,,
374-U1525A-7F-1-A,0.0,24.0,38.3,38.54,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,7,F,1,A,,,
374-U1525A-7F-CC-A,0.0,33.0,38.54,38.87,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,7,F,CC,A,,,
374-U1525A-10X-1-A,0.0,6.0,51.0,51.06,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/N (gray),,,,,,,,,,,,,,,374,U1525,A,10,X,1,A,,,
374-U1525A-10X-1-A,6.0,11.0,51.06,51.11,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,10,X,1,A,,,
374-U1525A-10X-1-A,6.0,29.0,51.06,51.29,diatom rich,mud,,diatom rich mud,mottling [BJ80],,,,,,,,,,,,,,,,374,U1525,A,10,X,1,A,,,
374-U1525A-10X-1-A,11.0,29.0,51.11,51.29,,,,,,2.5Y 5/2 (grayish brown),,,,,,,,,,,,,,,374,U1525,A,10,X,1,A,,,
374-U1525A-11F-1-A,0.0,56.0,55.7,56.26,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,11,F,1,A,,,
374-U1525A-11F-1-A,0.0,56.0,55.7,56.26,,,,,mottling [BJ80],,,,,,,,,,,,,,,,374,U1525,A,11,F,1,A,,,
374-U1525A-11F-1-A,56.0,91.0,56.26,56.61,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,11,F,1,A,,,
374-U1525A-11F-1-A,91.0,97.0,56.61,56.67,diatom rich,mud,,diatom rich mud,,GLEY 1 6/10GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,11,F,1,A,,,
374-U1525A-11F-1-A,97.0,135.0,56.67,57.05,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,11,F,1,A,,,
374-U1525A-11F-1-A,135.0,141.0,57.05,57.11,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,1,A,,,
374-U1525A-11F-2-A,0.0,56.0,57.11,57.67,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,sharp boundary or contact,,,,,,374,U1525,A,11,F,2,A,,,
374-U1525A-11F-2-A,56.0,94.0,57.67,58.05,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,2,A,,,
374-U1525A-11F-2-A,94.0,141.0,58.05,58.52,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,2,A,,,
374-U1525A-11F-3-A,0.0,33.0,58.52,58.85,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,3,A,,,
374-U1525A-11F-3-A,33.0,34.0,58.85,58.86,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,,,,,,,,,,,,,,,,374,U1525,A,11,F,3,A,,,
374-U1525A-11F-3-A,34.0,80.0,58.86,59.32,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,3,A,,,
374-U1525A-11F-3-A,57.0,76.0,59.09,59.28,,,,,post-sedimentary microfault (general),,,,,,,,,,,,Dm-scale fault?,,,,374,U1525,A,11,F,3,A,,,
374-U1525A-11F-3-A,80.0,91.0,59.32,59.43,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,3,A,,,
374-U1525A-11F-4-A,0.0,14.0,59.53,59.67,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,4,A,,,
374-U1525A-11F-4-A,14.0,86.0,59.67,60.39,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,4,A,,,
374-U1525A-11F-CC-A,0.0,15.0,60.39,60.54,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,11,F,CC,A,,,
374-U1525A-12F-1-A,0.0,90.0,60.4,61.3,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,1,A,,,
374-U1525A-12F-1-A,13.0,18.0,60.53,60.58,,,,,deformed,,,,,,,,,,,,,,,,374,U1525,A,12,F,1,A,,,
374-U1525A-12F-1-A,90.0,128.0,61.3,61.68,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,1,A,,,
374-U1525A-12F-1-A,128.0,132.5,61.68,61.725,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,1,A,,,
374-U1525A-12F-1-A,132.5,146.0,61.725,61.86,diatom bearing,mud,,diatom bearing mud,interlamination,GLEY 1 5/10Y (greenish gray),,,,,,,,lonestone,,,"Lonestones at 16, 30, 67, 101, 130",,,,374,U1525,A,12,F,1,A,,,
374-U1525A-12F-2-A,0.0,73.0,61.86,62.59,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,lonestone,sharp boundary or contact,,"Lonestones at 16, 30, 67",,,,374,U1525,A,12,F,2,A,,,
374-U1525A-12F-2-A,73.0,84.0,62.59,62.7,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 6/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,2,A,,,
374-U1525A-12F-2-A,84.0,114.0,62.7,63.0,diatom bearing,mud,,diatom bearing mud,mottling [BJ80],GLEY 1 5/10GY (greenish gray),,,,,,,,lonestone,,,"Lonestones at 71, 78, 79",,,,374,U1525,A,12,F,2,A,,,
374-U1525A-12F-2-A,115.0,140.0,63.01,63.26,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,2,A,,,
374-U1525A-12F-2-A,140.0,146.0,63.26,63.32,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),,,,,,,,,gradational boundary or contact,,,,,,374,U1525,A,12,F,2,A,,,
374-U1525A-12F-3-A,0.0,111.0,63.32,64.43,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,3,A,,,
374-U1525A-12F-4-A,0.0,47.0,64.43,64.9,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,4,A,,,
374-U1525A-12F-4-A,47.0,77.0,64.9,65.2,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,mottling [BJ80],GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,4,A,,,
374-U1525A-12F-CC-A,0.0,13.0,65.2,65.33,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,CC,A,,,
374-U1525A-12F-CC-A,13.0,26.0,65.33,65.46,diatom bearing,mud,,diatom bearing mud,mottling [BJ80],GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,12,F,CC,A,,,
374-U1525A-13F-1-A,0.0,33.0,65.1,65.43,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,1,A,,,
374-U1525A-13F-1-A,33.0,40.0,65.43,65.5,diatom bearing,mud,,diatom bearing mud,,2.5Y 6/2 (light brownish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,1,A,,,
374-U1525A-13F-1-A,40.0,85.0,65.5,65.95,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,1,A,,,
374-U1525A-13F-1-A,85.0,118.0,65.95,66.28,diatom rich,mud,,diatom rich mud,,2.5Y 6/2 (light brownish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,1,A,,,
374-U1525A-13F-1-A,118.0,146.0,66.28,66.56,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,1,A,,,
374-U1525A-13F-2-A,0.0,24.0,66.56,66.8,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 5/10Y (greenish gray),,,,,,,foraminifer,,,,Foram fragment,,,,374,U1525,A,13,F,2,A,,,
374-U1525A-13F-2-A,24.0,42.0,66.8,66.98,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,2,A,,,
374-U1525A-13F-2-A,42.0,55.0,66.98,67.11,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,2,A,,,
374-U1525A-13F-2-A,55.0,79.0,67.11,67.35,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,2,A,,,
374-U1525A-13F-2-A,79.0,93.0,67.35,67.49,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,2,A,,,
374-U1525A-13F-2-A,93.0,145.0,67.49,68.01,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 5/10GY (greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,2,A,,,
374-U1525A-13F-3-A,0.0,71.0,68.01,68.72,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1525,A,13,F,3,A,,,
