Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1448B-2H-CC-A,0.0,17.0,18.07,18.24,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,2,H,CC,A
353-U1448B-3H-1-A,0.0,150.0,18.1,19.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,1,A
353-U1448B-3H-2-A,0.0,150.0,19.6,21.1,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,Many light gray foraminifer-rich sandy blebs between 59 and 87 cm,,,,353,U1448,B,3,H,2,A
353-U1448B-3H-3-A,0.0,146.0,21.1,22.56,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,3,A
353-U1448B-3H-4-A,0.0,145.0,22.56,24.01,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,4,A
353-U1448B-3H-5-A,0.0,146.0,24.01,25.47,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,5,A
353-U1448B-3H-6-A,0.0,145.0,25.47,26.92,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,6,A
353-U1448B-3H-7-A,0.0,57.0,26.92,27.49,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,7,A
353-U1448B-3H-CC-A,0.0,19.0,27.49,27.68,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,3,H,CC,A
353-U1448B-4H-1-A,0.0,145.0,27.6,29.05,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,1,A
353-U1448B-4H-2-A,0.0,145.0,29.05,30.5,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,2,A
353-U1448B-4H-3-A,0.0,145.0,30.5,31.95,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,3,A
353-U1448B-4H-4-A,0.0,145.0,31.95,33.4,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,4,A
353-U1448B-4H-5-A,0.0,145.0,33.4,34.85,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,5,A
353-U1448B-4H-6-A,0.0,145.0,34.85,36.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,6,A
353-U1448B-4H-7-A,0.0,58.0,36.3,36.88,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,7,A
353-U1448B-4H-CC-A,0.0,42.0,36.88,37.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,4,H,CC,A
353-U1448B-5H-1-A,0.0,150.0,36.1,37.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Nodule at 100-103 cm containing white carbonate bits,,,,353,U1448,B,5,H,1,A
353-U1448B-5H-2-A,0.0,150.0,37.6,39.1,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,2,A
353-U1448B-5H-3-A,0.0,150.0,39.1,40.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,3,A
353-U1448B-5H-4-A,0.0,145.0,40.6,42.05,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,4,A
353-U1448B-5H-5-A,0.0,145.0,42.05,43.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,5,A
353-U1448B-5H-6-A,0.0,150.0,43.5,45.0,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,6,A
353-U1448B-5H-7-A,0.0,64.0,45.0,45.64,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,7,A
353-U1448B-5H-CC-A,0.0,19.0,45.64,45.83,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,5,H,CC,A
353-U1448B-6H-1-A,0.0,53.0,45.6,46.13,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,1,A
353-U1448B-6H-1-A,53.0,68.0,46.13,46.28,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,5YR 6/1 (gray),bioturbated,,,,,,,,,,,,,,,,353,U1448,B,6,H,1,A
353-U1448B-6H-1-A,68.0,150.0,46.28,47.1,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,"Patches of the ash seen at 107, 115 cm",,,,353,U1448,B,6,H,1,A
353-U1448B-6H-2-A,0.0,150.0,47.1,48.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,2,A
353-U1448B-6H-3-A,0.0,150.0,48.6,50.1,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,3,A
353-U1448B-6H-4-A,0.0,150.0,50.1,51.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,4,A
353-U1448B-6H-5-A,0.0,150.0,51.6,53.1,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,5,A
353-U1448B-6H-6-A,0.0,150.0,53.1,54.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,6,A
353-U1448B-6H-7-A,0.0,61.0,54.6,55.21,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,7,A
353-U1448B-6H-CC-A,0.0,20.0,55.21,55.41,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,6,H,CC,A
353-U1448B-7H-1-A,0.0,150.0,55.1,56.6,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,1,A
353-U1448B-7H-2-A,0.0,146.0,56.6,58.06,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,2,A
353-U1448B-7H-3-A,0.0,146.0,58.06,59.52,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,3,A
353-U1448B-7H-4-A,0.0,147.0,59.52,60.99,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,4,A
353-U1448B-7H-5-A,0.0,146.0,60.99,62.45,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,5,A
353-U1448B-7H-6-A,0.0,150.0,62.45,63.95,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,6,A
353-U1448B-7H-7-A,0.0,76.0,63.95,64.71,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10GY (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,7,A
353-U1448B-7H-CC-A,0.0,35.0,64.71,65.06,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,7,H,CC,A
353-U1448B-8H-1-A,0.0,150.0,64.6,66.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,1,A
353-U1448B-8H-2-A,0.0,150.0,66.1,67.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,2,A
353-U1448B-8H-3-A,0.0,108.0,67.6,68.68,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),erosive,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,3,A
353-U1448B-8H-3-A,108.0,109.0,68.68,68.69,,bioclastic,silt,,bioclastic silt,bioclastic silt,silt,,black,GLEY 1 5/N (gray),bioturbated,,,very thin bed,,,,,,Turbidite?,,,,,,,353,U1448,B,8,H,3,A
353-U1448B-8H-3-A,109.0,150.0,68.69,69.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,3,A
353-U1448B-8H-4-A,0.0,146.0,69.1,70.56,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,4,A
353-U1448B-8H-5-A,0.0,147.0,70.56,72.03,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,5,A
353-U1448B-8H-6-A,0.0,150.0,72.03,73.53,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,6,A
353-U1448B-8H-7-A,0.0,67.0,73.53,74.2,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,7,A
353-U1448B-8H-CC-A,0.0,18.0,74.2,74.38,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,8,H,CC,A
353-U1448B-9H-1-A,0.0,150.0,74.1,75.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,1,A
353-U1448B-9H-2-A,0.0,150.0,75.6,77.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,2,A
353-U1448B-9H-3-A,0.0,150.0,77.1,78.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,3,A
353-U1448B-9H-4-A,0.0,150.0,78.6,80.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,4,A
353-U1448B-9H-5-A,0.0,150.0,80.1,81.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,5,A
353-U1448B-9H-6-A,0.0,141.0,81.6,83.01,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,6,A
353-U1448B-9H-7-A,0.0,66.0,83.01,83.67,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,7,A
353-U1448B-9H-CC-A,0.0,25.0,83.67,83.92,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,9,H,CC,A
353-U1448B-10H-1-A,0.0,150.0,83.6,85.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,1,A
353-U1448B-10H-2-A,0.0,150.0,85.1,86.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,2,A
353-U1448B-10H-3-A,0.0,150.0,86.6,88.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,3,A
353-U1448B-10H-4-A,0.0,150.0,88.1,89.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,4,A
353-U1448B-10H-5-A,0.0,150.0,89.6,91.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,5,A
353-U1448B-10H-6-A,0.0,141.0,91.1,92.51,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,6,A
353-U1448B-10H-7-A,0.0,68.0,92.51,93.19,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,7,A
353-U1448B-10H-CC-A,0.0,41.0,93.19,93.6,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,10,H,CC,A
353-U1448B-11H-1-A,0.0,150.0,93.1,94.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Some clayey calcareous ooze towards bottom part (>90cm),,,,353,U1448,B,11,H,1,A
353-U1448B-11H-2-A,0.0,150.0,94.6,96.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,2,A
353-U1448B-11H-3-A,0.0,150.0,96.1,97.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,3,A
353-U1448B-11H-4-A,0.0,150.0,97.6,99.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,4,A
353-U1448B-11H-5-A,0.0,150.0,99.1,100.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,5,A
353-U1448B-11H-6-A,0.0,142.0,100.6,102.02,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,6,A
353-U1448B-11H-7-A,0.0,72.0,102.02,102.74,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,7,A
353-U1448B-11H-CC-A,0.0,27.0,102.74,103.01,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,11,H,CC,A
353-U1448B-12H-1-A,0.0,150.0,102.6,104.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,B,12,H,1,A
