Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
323-U1343C-3H-1-A,323,U1343,C,3,3-1,H,1,A,0.0,150.0,16.7,18.2,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-2-A,323,U1343,C,3,3-2,H,2,A,0.0,85.0,18.2,19.05,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-2-A,323,U1343,C,3,3-2,H,2,A,85.0,150.0,19.05,19.7,sandy silt [S54],"Shepard, 1954",foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-3-A,323,U1343,C,3,3-3,H,3,A,0.0,150.0,19.7,21.2,sandy silt [S54],"Shepard, 1954",foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-4-A,323,U1343,C,3,3-4,H,4,A,0.0,100.0,21.2,22.2,sandy silt [S54],"Shepard, 1954",foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-4-A,323,U1343,C,3,3-4,H,4,A,100.0,150.0,22.2,22.7,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-5-A,323,U1343,C,3,3-5,H,5,A,0.0,80.0,22.7,23.5,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-5-A,323,U1343,C,3,3-5,H,5,A,80.0,150.0,23.5,24.2,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-6-A,323,U1343,C,3,3-6,H,6,A,0.0,150.0,24.2,25.7,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-7-A,323,U1343,C,3,3-7,H,7,A,0.0,66.0,25.7,26.36,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-3H-CC-A,323,U1343,C,3,3-CC,H,CC,A,0.0,15.0,26.36,26.51,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-1-A,323,U1343,C,4,4-1,H,1,A,0.0,150.0,26.2,27.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-2-A,323,U1343,C,4,4-2,H,2,A,0.0,150.0,27.7,29.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-3-A,323,U1343,C,4,4-3,H,3,A,0.0,100.0,29.2,30.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-3-A,323,U1343,C,4,4-3,H,3,A,100.0,150.0,30.2,30.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-4H-4-A,323,U1343,C,4,4-4,H,4,A,0.0,150.0,30.7,32.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-4H-5-A,323,U1343,C,4,4-5,H,5,A,0.0,150.0,32.2,33.7,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-4H-6-A,323,U1343,C,4,4-6,H,6,A,0.0,150.0,33.7,35.2,diatom ooze,Leg 323,,diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-7-A,323,U1343,C,4,4-7,H,7,A,0.0,45.0,35.2,35.65,diatom ooze,Leg 323,,diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-7-A,323,U1343,C,4,4-7,H,7,A,45.0,82.0,35.65,36.02,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-7-A,323,U1343,C,4,4-7,H,7,A,82.0,86.0,36.02,36.06,clayey silt [S54],"Shepard, 1954",foraminifer- and nannofossil-bearing diatom-rich,foraminifer- and nannofossil-bearing diatom-rich clayey silt,,soft,5GY 4/1,,,,,thinly laminated,,,,,,,,,,,,
323-U1343C-4H-7-A,323,U1343,C,4,4-7,H,7,A,86.0,89.0,36.06,36.09,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-4H-CC-A,323,U1343,C,4,4-CC,H,CC,A,0.0,23.0,36.09,36.32,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-1-A,323,U1343,C,5,5-1,H,1,A,0.0,85.0,35.7,36.55,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-1-A,323,U1343,C,5,5-1,H,1,A,85.0,100.0,36.55,36.7,diatom ooze,Leg 323,nannofossil-bearing foraminifera-rich,nannofossil-bearing foraminifera-rich diatom ooze,,soft,10Y 4/1,,,,,thin lamination,,,,,,,,,,,,
323-U1343C-5H-1-A,323,U1343,C,5,5-1,H,1,A,100.0,145.0,36.7,37.15,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-2-A,323,U1343,C,5,5-2,H,2,A,0.0,150.0,37.15,38.65,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-3-A,323,U1343,C,5,5-3,H,3,A,0.0,150.0,38.65,40.15,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-4-A,323,U1343,C,5,5-4,H,4,A,0.0,40.0,40.15,40.55,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-4-A,323,U1343,C,5,5-4,H,4,A,40.0,65.0,40.55,40.8,diatom clay,Leg 323,authigenic-carbonate-rich,authigenic-carbonate-rich diatom clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-4-A,323,U1343,C,5,5-4,H,4,A,65.0,144.0,40.8,41.59,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,authigenic carbonates,,,,,,,,,,,,
323-U1343C-5H-5-A,323,U1343,C,5,5-5,H,5,A,0.0,125.0,41.59,42.84,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-5H-5-A,323,U1343,C,5,5-5,H,5,A,125.0,150.0,42.84,43.09,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-5H-6-A,323,U1343,C,5,5-6,H,6,A,0.0,137.0,43.09,44.46,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-5H-CC-A,323,U1343,C,5,5-CC,H,CC,A,0.0,20.0,44.46,44.66,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-1-A,323,U1343,C,6,6-1,H,1,A,0.0,72.0,45.2,45.92,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-2-A,323,U1343,C,6,6-2,H,2,A,0.0,150.0,45.92,47.42,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-3-A,323,U1343,C,6,6-3,H,3,A,0.0,150.0,47.42,48.92,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-4-A,323,U1343,C,6,6-4,H,4,A,0.0,137.0,48.92,50.29,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-5-A,323,U1343,C,6,6-5,H,5,A,0.0,148.0,50.29,51.77,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-6-A,323,U1343,C,6,6-6,H,6,A,0.0,35.0,51.77,52.12,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-6-A,323,U1343,C,6,6-6,H,6,A,35.0,90.0,52.12,52.67,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-6-A,323,U1343,C,6,6-6,H,6,A,90.0,143.0,52.67,53.2,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-7-A,323,U1343,C,6,6-7,H,7,A,0.0,150.0,53.2,54.7,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-8-A,323,U1343,C,6,6-8,H,8,A,0.0,46.0,54.7,55.16,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-CC-A,323,U1343,C,6,6-CC,H,CC,A,0.0,22.0,55.16,55.38,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-6H-CC-A,323,U1343,C,6,6-CC,H,CC,A,22.0,26.0,55.38,55.42,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-1-A,323,U1343,C,7,7-1,H,1,A,0.0,80.0,54.7,55.5,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-1-A,323,U1343,C,7,7-1,H,1,A,80.0,150.0,55.5,56.2,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-7H-2-A,323,U1343,C,7,7-2,H,2,A,0.0,144.0,56.2,57.64,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-7H-3-A,323,U1343,C,7,7-3,H,3,A,0.0,35.0,57.64,57.99,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-7H-3-A,323,U1343,C,7,7-3,H,3,A,35.0,60.0,57.99,58.24,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,authigenic carbonates,,,,,,,,,,,,
323-U1343C-7H-3-A,323,U1343,C,7,7-3,H,3,A,60.0,122.0,58.24,58.86,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-3-A,323,U1343,C,7,7-3,H,3,A,122.0,128.0,58.86,58.92,dolostone [USGS-LP62],,,dolostone,,stiff,10Y 5/2,,,,,semilithified layer,,,,,,,,,,,,
323-U1343C-7H-3-A,323,U1343,C,7,7-3,H,3,A,128.0,142.0,58.92,59.06,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-4-A,323,U1343,C,7,7-4,H,4,A,0.0,150.0,59.06,60.56,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-5-A,323,U1343,C,7,7-5,H,5,A,0.0,147.0,60.56,62.03,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-6-A,323,U1343,C,7,7-6,H,6,A,0.0,115.0,62.03,63.18,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-7H-6-A,323,U1343,C,7,7-6,H,6,A,115.0,145.0,63.18,63.48,silt [S54],,diatom-rich,diatom-rich silt,,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-7H-CC-A,323,U1343,C,7,7-CC,H,CC,A,0.0,35.0,63.48,63.83,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-1-A,323,U1343,C,8,8-1,H,1,A,0.0,150.0,64.2,65.7,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soupy,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-2-A,323,U1343,C,8,8-2,H,2,A,0.0,47.0,65.7,66.17,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soupy,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-2-A,323,U1343,C,8,8-2,H,2,A,47.0,139.0,66.17,67.09,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-3-A,323,U1343,C,8,8-3,H,3,A,0.0,20.0,67.1,67.3,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-3-A,323,U1343,C,8,8-3,H,3,A,20.0,35.0,67.3,67.45,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1343C-8H-3-A,323,U1343,C,8,8-3,H,3,A,35.0,147.0,67.45,68.57,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-4-A,323,U1343,C,8,8-4,H,4,A,0.0,128.0,68.57,69.85,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-5-A,323,U1343,C,8,8-5,H,5,A,0.0,44.0,69.85,70.29,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-8H-CC-A,323,U1343,C,8,8-CC,H,CC,A,0.0,26.0,70.29,70.55,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-1-A,323,U1343,C,9,9-1,H,1,A,0.0,123.0,68.2,69.43,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-2-A,323,U1343,C,9,9-2,H,2,A,0.0,134.0,69.43,70.77,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-9H-3-A,323,U1343,C,9,9-3,H,3,A,0.0,148.0,70.77,72.25,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343C-9H-4-A,323,U1343,C,9,9-4,H,4,A,0.0,146.0,72.25,73.71,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-5-A,323,U1343,C,9,9-5,H,5,A,0.0,150.0,73.71,75.21,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-6-A,323,U1343,C,9,9-6,H,6,A,0.0,100.0,75.21,76.21,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-6-A,323,U1343,C,9,9-6,H,6,A,100.0,150.0,76.21,76.71,diatom silt,Leg 323,,diatom silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-7-A,323,U1343,C,9,9-7,H,7,A,0.0,30.0,76.71,77.01,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-7-A,323,U1343,C,9,9-7,H,7,A,30.0,115.0,77.01,77.86,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-CC-A,323,U1343,C,9,9-CC,H,CC,A,0.0,15.0,77.86,78.01,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-9H-CC-A,323,U1343,C,9,9-CC,H,CC,A,15.0,40.0,78.01,78.26,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343C-10H-1-A,323,U1343,C,10,10-1,H,1,A,0.0,74.0,77.7,78.44,silt [S54],,diatom-rich,diatom-rich silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-2-A,323,U1343,C,10,10-2,H,2,A,0.0,150.0,78.44,79.94,silt [S54],,diatom-rich,diatom-rich silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-3-A,323,U1343,C,10,10-3,H,3,A,0.0,150.0,79.94,81.44,silt [S54],,diatom-rich,diatom-rich silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-4-A,323,U1343,C,10,10-4,H,4,A,0.0,150.0,81.44,82.94,silt [S54],,diatom-rich,diatom-rich silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-5-A,323,U1343,C,10,10-5,H,5,A,0.0,54.5,82.94,83.485,silt [S54],,diatom-rich,diatom-rich silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-5-A,323,U1343,C,10,10-5,H,5,A,54.5,150.0,83.485,84.44,diatom clayey silt,Leg 323,,diatom clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-10H-6-A,323,U1343,C,10,10-6,H,6,A,0.0,33.0,84.44,84.77,diatom clayey silt,Leg 323,,diatom clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-10H-6-A,323,U1343,C,10,10-6,H,6,A,33.0,128.0,84.77,85.72,silt [S54],,,silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-7-A,323,U1343,C,10,10-7,H,7,A,0.0,50.0,85.72,86.22,silt [S54],,,silt,100,soft,3/N ,,,,,,,,,,,,,,,,,
323-U1343C-10H-7-A,323,U1343,C,10,10-7,H,7,A,50.0,100.0,86.22,86.72,diatom clayey silt,,,diatom clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-10H-8-A,323,U1343,C,10,10-8,H,8,A,0.0,56.0,86.72,87.28,diatom clayey silt,,,diatom clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-10H-CC-A,323,U1343,C,10,10-CC,H,CC,A,0.0,31.0,87.28,87.59,diatom clayey silt,,,diatom clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343C-11H-1-A,323,U1343,C,11,11-1,H,1,A,0.0,60.0,87.2,87.8,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343C-11H-1-A,323,U1343,C,11,11-1,H,1,A,60.0,134.0,87.8,88.54,silt [S54],Leg 323,diatom-rich,diatom-rich silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,
