Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1336B-6H,320,U1336,B,6,,H,,,0,1010,39.8,49.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,25,soft,,major,,
320-U1336B-6H,320,U1336,B,6,,H,,,0,1010,39.8,49.9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,75,soft,,major,,
320-U1336B-6H-2-A,320,U1336,B,6,6-2,H,2,A,91.14,91.87,42.211,42.219,,,,,,,,,small (0.8 cm) pumice,,
320-U1336B-6H-3-A,320,U1336,B,6,6-3,H,3,A,62.78,63.65,43.428,43.437,,,,,,,,,small (1 cm) pumice,,
320-U1336B-6H-5-A,320,U1336,B,6,6-5,H,5,A,108.14,108.89,46.881,46.889,,,,,,,,,small (0.3 cm) pumice,,
320-U1336B-6H-5-A,320,U1336,B,6,6-5,H,5,A,138.68,144.1,47.187,47.241,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",radiolarian nannofossil,,radiolarian nannofossil ooze,,soft,,contains volcanic glass. ,,
320-U1336B-7H-1-A,320,U1336,B,7,7-1,H,1,A,0,150,49.3,50.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-1-A,320,U1336,B,7,7-1,H,1,A,0,150,49.3,50.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-1-A,320,U1336,B,7,7-1,H,1,A,19.52,20.4,49.495,49.504,,,,,,,,,small (0.5 cm) pumice,,
320-U1336B-7H-2-A,320,U1336,B,7,7-2,H,2,A,0,150,50.8,52.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-2-A,320,U1336,B,7,7-2,H,2,A,0,150,50.8,52.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-3-A,320,U1336,B,7,7-3,H,3,A,0,150,52.3,53.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-3-A,320,U1336,B,7,7-3,H,3,A,0,150,52.3,53.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-4-A,320,U1336,B,7,7-4,H,4,A,0,150,53.8,55.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-4-A,320,U1336,B,7,7-4,H,4,A,0,150,53.8,55.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-5-A,320,U1336,B,7,7-5,H,5,A,0,150,55.3,56.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-5-A,320,U1336,B,7,7-5,H,5,A,0,150,55.3,56.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-6-A,320,U1336,B,7,7-6,H,6,A,0,120,56.8,58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-6-A,320,U1336,B,7,7-6,H,6,A,0,120,56.8,58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-6-A,320,U1336,B,7,7-6,H,6,A,86.32,87.05,57.663,57.671,,,,,,,,,small (0.3cm) dark gray pumice fragment,,
320-U1336B-7H-7-A,320,U1336,B,7,7-7,H,7,A,0,43,58,58.43,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-7-A,320,U1336,B,7,7-7,H,7,A,0,43,58,58.43,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-7H-CC-A,320,U1336,B,7,7-CC,H,CC,A,0,25,58.43,58.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,70,soft,,,,
320-U1336B-7H-CC-A,320,U1336,B,7,7-CC,H,CC,A,0,25,58.43,58.68,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,30,soft,,,,
320-U1336B-8H,320,U1336,B,8,,H,,,0,970,58.8,68.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,80,,,,,
320-U1336B-8H,320,U1336,B,8,,H,,,0,970,58.8,68.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians and foraminifers,nannofossil ooze with radiolarians and foraminifers,20,,,,,
320-U1336B-8H-2-A,320,U1336,B,8,8-2,H,2,A,2.37,3.1,60.324,60.331,,,,,,,,,"pumice, small (0.3cm) dark gray fragment",,
320-U1336B-8H-2-A,320,U1336,B,8,8-2,H,2,A,114.95,117.11,61.45,61.471,,,,,,,,,"pumice, rounded, gray fragment (2cm)",,
320-U1336B-9H,320,U1336,B,9,,H,,,0,947,68.3,77.77,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,15,soft,,major,,
320-U1336B-9H,320,U1336,B,9,,H,,,0,947,68.3,77.77,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,85,soft,,major,,
320-U1336B-9H-2-A,320,U1336,B,9,9-2,H,2,A,8.03,8.29,69.88,69.883,,,,,,,,,small (0.3 cm) pumice,,
320-U1336B-9H-2-A,320,U1336,B,9,9-2,H,2,A,10.72,11.23,69.907,69.912,,,,,,,,,small (0.5 cm) pumice,,
320-U1336B-9H-2-A,320,U1336,B,9,9-2,H,2,A,11.87,12.45,69.919,69.925,,,,,,,,,small (0.5 cm) pumice,,
320-U1336B-9H-2-A,320,U1336,B,9,9-2,H,2,A,22.72,23.07,70.027,70.031,,,,,,,,,small (0.3 cm) pumice,,
320-U1336B-9H-5-A,320,U1336,B,9,9-5,H,5,A,100.92,101.37,75.309,75.314,,,,,,,,,small (0.4 cm) pumice,,
320-U1336B-10H-1-A,320,U1336,B,10,10-1,H,1,A,0,150,77.8,79.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-1-A,320,U1336,B,10,10-1,H,1,A,0,150,77.8,79.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-2-A,320,U1336,B,10,10-2,H,2,A,0,150,79.3,80.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-2-A,320,U1336,B,10,10-2,H,2,A,0,150,79.3,80.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-2-A,320,U1336,B,10,10-2,H,2,A,108,108.2,80.38,80.382,,,,,,,,,small (0.2 cm) pumice,,
320-U1336B-10H-3-A,320,U1336,B,10,10-3,H,3,A,0,150,80.8,82.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-3-A,320,U1336,B,10,10-3,H,3,A,0,150,80.8,82.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-4-A,320,U1336,B,10,10-4,H,4,A,0,150,82.3,83.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-4-A,320,U1336,B,10,10-4,H,4,A,0,150,82.3,83.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-5-A,320,U1336,B,10,10-5,H,5,A,0,150,83.8,85.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-5-A,320,U1336,B,10,10-5,H,5,A,0,150,83.8,85.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-6-A,320,U1336,B,10,10-6,H,6,A,0,150,85.3,86.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-6-A,320,U1336,B,10,10-6,H,6,A,0,150,85.3,86.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-7-A,320,U1336,B,10,10-7,H,7,A,0,73,86.8,87.53,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-7-A,320,U1336,B,10,10-7,H,7,A,0,73,86.8,87.53,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-10H-7-A,320,U1336,B,10,10-7,H,7,A,53.5,53.7,87.335,87.337,,,,,,,,,small (0.2 cm) pumice,,
320-U1336B-10H-CC-A,320,U1336,B,10,10-CC,H,CC,A,0,27,87.53,87.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,40,soft,,major,,
320-U1336B-10H-CC-A,320,U1336,B,10,10-CC,H,CC,A,0,27,87.53,87.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,60,soft,,major,,
320-U1336B-11H,320,U1336,B,11,,H,,,0,995,87.3,97.25,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,100,soft,,,,
320-U1336B-12H,320,U1336,B,12,,H,,,0,980,96.8,106.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",with foraminifers,nannofossil,with foraminifers ooze nannofossil,100,soft,,,,
320-U1336B-13H,320,U1336,B,13,,H,,,0,1011,106.3,116.41,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with foraminifers,nannofossil ooze with foraminifers,30,soft,,,,
320-U1336B-13H,320,U1336,B,13,,H,,,0,1011,106.3,116.41,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,70,soft,,,,
320-U1336B-14H,320,U1336,B,14,,H,,,0,1009,115.8,125.89,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-14H-4-A,320,U1336,B,14,14-4,H,4,A,37.99,40.26,120.68,120.703,chalk [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil chalk,,firm,,blades of calcite mineral grains comprise approximatley 15% sediment.,,
320-U1336B-14H-4-A,320,U1336,B,14,14-4,H,4,A,44.13,46.13,120.741,120.761,chalk [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil chalk,,firm,,blades of calcite mineral grains comprise approximatley 15% sediment.,,
320-U1336B-14H-4-A,320,U1336,B,14,14-4,H,4,A,51.25,53.72,120.813,120.837,chalk [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil chalk,,firm,,blades of calcite mineral grains comprise approximatley 15% sediment.,,
320-U1336B-15H,320,U1336,B,15,,H,,,0,953,125.3,134.83,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-16H-1-A,320,U1336,B,16,16-1,H,1,A,0,63,134.8,135.43,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,numerous chert fragments contained within soupy intervals,,
320-U1336B-16H-2-A,320,U1336,B,16,16-2,H,2,A,0,119,135.43,136.62,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,numerous chert fragments contained within soupy intervals,,
320-U1336B-16H-CC-A,320,U1336,B,16,16-CC,H,CC,A,0,24,136.62,136.86,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,numerous chert fragments contained within soupy intervals,,
320-U1336B-17H,320,U1336,B,17,,H,,,0,886,136.8,145.66,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100,soft,,,,
320-U1336B-17H-5-A,320,U1336,B,17,17-5,H,5,A,59.29,67.74,143.393,143.477,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,with radiolarians,nannofossil ooze with radiolarians,,soft,,,,
320-U1336B-18H,320,U1336,B,18,,H,,,0,965,145.4,155.05,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100%,soft,,,,
320-U1336B-18H-4-A,320,U1336,B,18,18-4,H,4,A,105.36,106.57,150.954,150.966,,,,,,,,,chert fragment,,
320-U1336B-19H,320,U1336,B,19,,H,,,0,984,154.9,164.74,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100%,soft,,,,
320-U1336B-20H,320,U1336,B,20,,H,,,0,961,164.4,174.01,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",nannofossil,,nannofossil ooze,100%,soft,,,,
