Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1419A-3H-2-A,145,150,19.85,19.9,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1419A-3H-3-A,0,145,19.9,21.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],5,,,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,"metasandstone 2 cm at 72 cm, subrounded; argillite 2 cm, rounded, at 83; granules at 55and 103 cm; sandstone clast 2 cm In WH!, subangular, at 112 cm; ",gradational contact,,,,
341-U1419A-3H-3-A,145,147,21.35,21.37,,sand [Leg210],,sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,planar,,,
341-U1419A-3H-3-A,147,150,21.37,21.4,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419A-3H-4-A,0,105,21.4,22.45,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],9,,,,,,,shell fragment,,,"very thin shell fragments: 69, 75, 90cm;
sand patch: 70-73cm",gradational contact,,,,
341-U1419A-3H-4-A,105,145,22.45,22.85,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,,,,,,
341-U1419A-3H-4-A,145,150,22.85,22.9,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1419A-3H-5-A,0,150,22.9,24.4,,mud [Leg210],,mud ,trace amount,1,,N 4 (dark gray),none [DB86],0,present [A79],15,,,,,,,shell fragment,,,"shell fragments: 57, 97cm;
ash patches (N 7): 71-73, 77-78cm",,,,,
341-U1419A-3H-6-A,0,124,24.4,25.64,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],7,,,,,,,shell fragment,,,shell fragment: 119cm,gradational contact,,,,
341-U1419A-3H-6-A,124,139,25.64,25.79,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/2 (grayish green),none [DB86],0,present [A79],2,,,,,,,shell fragment,,,shell fragments: 128-132cm,gradational contact,,,,
341-U1419A-3H-6-A,139,145,25.79,25.85,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,,,,,,
341-U1419A-3H-6-A,145,150,25.85,25.9,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1419A-3H-7-A,0,57,25.9,26.47,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],8,,,pebble [W22_2],subangular,,,,,,4cm sandstone @ 49cm,,,,,
341-U1419A-3H-CC-A,0,13,26.47,26.6,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],3,,,,,,,,,,,,,,,
341-U1419A-3H-CC-A,13,18,26.6,26.65,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419A-5H-CC-A,0,1,35.9,35.91,,sandstone [Leg210],,sandstone ,,,,10B 4/1 (dark bluish gray),none [DB86],0,absent [A79],,,,,,,,,,,"only one piece of stone in the core - part of larger rock?
",,,,,
341-U1419A-5H-CC-A,1,5,35.91,35.95,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419A-6H-1-A,0,150,38.9,40.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],10,,,,,,,,,,"- very scattered black mottles (<2 mm)
- pebble clasts of siltstone and greenstone(?)",,,,,
341-U1419A-6H-2-A,0,145,40.4,41.85,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],14,,,,,,,,,,"- very scattered black mottles (<2 mm)
- pebble clasts include greywacke(?), siltstone, metasediment with quartz vein",,,,,
341-U1419A-6H-2-A,145,150,41.85,41.9,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,
341-U1419A-6H-3-A,0,20,41.9,42.1,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],3,,,,,,,,,,"- no black mottles observed
- pebble clasts include granitoid clasts, argillite(?), quartz",,,,,
341-U1419A-6H-3-A,20,23,42.1,42.13,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1419A-6H-3-A,23,53,42.13,42.43,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,,,,,,,,"- no black mottles observed
- pebble clasts include siltstone",,,,,
341-U1419A-6H-3-A,53,56,42.43,42.46,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1419A-6H-3-A,56,150,42.46,43.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],7,,,,,,,,,,"- no black mottles observed
- pebble clasts include siltstone, greenstone and greywacke(?)",,,,,
341-U1419A-6H-4-A,0,31,43.4,43.71,sandy,mud [Leg210],with dispersed clasts,sandy mud  with dispersed clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],7,,,,,,,,,,few black mottles occur; clasts include mainly granules and pebbles of black metasiltstone and greenstone,,,,,
341-U1419A-6H-4-A,31,33,43.71,43.73,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1419A-6H-4-A,33,145,43.73,44.85,sandy,mud [Leg210],with dispersed clasts,sandy mud  with dispersed clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],7,,,,,,,,,,few black mottles occur; clasts include mainly granules and pebbles of black metasiltstone and greenstone; outsized siltstone clast (5x3 cm) @ 83-88 cm (with quartz vein); outsized lonestone @ 125 - 131 cm (green-red igneous rock with quartz),,,,,
341-U1419A-6H-4-A,145,150,44.85,44.9,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1419A-6H-5-A,0,108,44.9,45.98,sandy,mud [Leg210],with dispersed clasts,sandy mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],8,,,,,,,,,,very few black mottles; clasts include mainly granules and pebbles of black metasiltstone and greenstone,,,,,
341-U1419A-6H-5-A,108,145,45.98,46.35,,mud [Leg210],with biogenic components [Leg339],mud  with biogenic components ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,present [A79],16,,,,,,,,,,mud with biosilica and calcareous components,,,,,
341-U1419A-6H-5-A,145,150,46.35,46.4,sandy,mud [Leg210],with dispersed clasts,sandy mud with dispersed clasts,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,very few black mottles; clasts include mainly granules and pebbles of black metasiltstone and greenstone,,,,,
341-U1419A-6H-6-A,0,146,46.4,47.86,sandy,mud [Leg210],with dispersed clasts,sandy mud with dispersed clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],14,,,,,,,,,,few black mottles; clasts include mainly granules of black metasiltstone and greenstone; slightly sandier interval between 25 and 31 cm; sandy diamict patch @ 79 to 83 cm,,,,,
341-U1419A-6H-CC-A,0,17,47.86,48.03,sandy,mud [Leg210],,sandy mud,,,,N 4 (dark gray),,,,,,,,,,,,,,very few black mottles,,,,,
341-U1419A-6H-CC-A,17,23,48.03,48.09,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419A-8H-1-A,0,155,57.9,59.45,,mud [Leg210],with diatoms [Leg339],mud with diatoms ,,,,N 4 (dark gray),moderate [DB86],2,present [A79],13,,,,,,,,,,"- massive mud with diatoms
- diatoms found in smear slide from section 1, 41 cm (also 10% sand); smear slide from section 1, 112 cm: mud
- slight colour banding between N4 and 10Y 4/1
- scattered sand and mud patches; sand patches up to coarse sand
- scattered lonestones (<1 cm)
- two sand laminae and one sand bed with erosive lower boundaries; continuous and discontinuous
- scattered black mottles",,,,,
341-U1419A-8H-2-A,0,13,59.45,59.58,,mud [Leg210],with diatoms [Leg339],mud with diatoms ,,,,N 4 (dark gray),moderate [DB86],2,present [A79],2,,,,,,,,,,"- massive mud with diatoms
- diatoms found in smear slide from section 1, 41 cm (also 10% sand); smear slide from section 1, 112 cm: mud
- slight colour banding between N4 and 10Y 4/1
- scattered sand and mud patches; sand patches up to coarse sand
- scattered lonestones (<1 cm)
- scattered black mottles",gradational contact,,,,
341-U1419A-8H-2-A,13,47,59.58,59.92,,interbedded sand(stone) and mud(stone) [McKW53],with silt [Leg339],interbedded sand(stone) and mud(stone) with silt ,,,,N 4 (dark gray),slight [DB86],1,present [A79],2,,,,,,,,,,"- interbedded fine sand and mud
- with silt
- graded from fine sand to very fine sand / silt
- 13 laminae and beds
- max. 3.5 cm thick
- erosive lower and sharp upper boundaries
- spacing: ~2 mm - ~4 cm
- lonestones <1 cm",gradational contact,,,,
341-U1419A-8H-2-A,47,148,59.92,60.93,,mud [Leg210],,mud,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],7,,,,,,,,,,"- massive mud
- scattered black mottles (< 5 mm)
- scattered granule clasts",,,,,
341-U1419A-8H-2-A,148,154,60.93,60.99,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,
341-U1419A-8H-3-A,0,70,60.99,61.69,,mud [Leg210],,mud,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],6,,,,,,,,,,"- massive mud
- scattered black mottles
- scattered lonestones (granules and small pebbles)
- gradational lower boundary",gradational contact,,,,
341-U1419A-8H-3-A,70,113.5,61.69,62.125,,diatom ooze [Leg339],with sand [Leg339],diatom ooze with sand ,,,,5Y 4/1 (dark gray),heavy [DB86],3,present [A79],2,,,,,,,,,,"- diatom ooze with one fine sand lamina and two silt laminae
- few black mottles
",gradational contact,,,,
341-U1419A-8H-3-A,113.5,118.5,62.125,62.175,,mud [Leg210],,mud,,,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,- massive mud,sharp contact,,,,
341-U1419A-8H-3-A,118.5,120.5,62.175,62.195,volcaniclastic bearing,silt [Leg210],,volcaniclastic bearing silt,,,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,,,,,,
341-U1419A-8H-3-A,120.5,145.5,62.195,62.445,,mud [Leg210],,mud,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],6,,,,,,,,,,"- massive mud
- scattered black mottles
- scattered lonestones (granules and small pebbles)
- gradational lower boundary",gradational contact,,,,
341-U1419A-8H-3-A,145.5,154,62.445,62.53,,mud [Leg210],,mud,,,,N 4 (dark gray),slight [DB86],1,present [A79],2,,,,,,,,,,"- massive mud
- few black mottles
~147: pebble of metasediment - shale with foliation?",,,,,
341-U1419A-8H-4-A,0,152,62.53,64.05,,mud [Leg210],,mud,,,,N 4 (dark gray),slight [DB86],1,present [A79],19,,,,,,,,,,clayey mud with very few black mottles,,,,,
341-U1419A-8H-4-A,152,158,64.05,64.11,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,,
341-U1419A-8H-5-A,0,155,64.11,65.66,,mud [Leg210],,mud,,,,N 4 (dark gray),slight [DB86],1,present [A79],25,,,,,,,shell fragment,,,"clayey mud with very few black mottles; shell fragments @ 110 cm; subrounded black metasediment pebble (4 cm) @ 8-12, 101, 128-131 and 134 (2 cm) cm",,,,,
341-U1419A-8H-6-A,0,153,65.66,67.19,,interbedded sand(stone) and mud(stone) [McKW53],,interbedded sand(stone) and mud(stone),,,,N 4 (dark gray),,,,,,,,,,,,,,mud interbedded with fine (well sorted) sand laminae (up to 1 cm) and beds (up to 3 cm); sharp lower boundaries; sand is 5Y 4/1 colored,,,,,
341-U1419A-8H-7-A,0,35,67.24,67.59,,interbedded sand(stone) and mud(stone) [McKW53],,interbedded sand(stone) and mud(stone),,,,N 4 (dark gray),,,,,,,,,,,,,,mud interbedded with fine (well sorted) sand laminae (up to 1 cm) and beds (up to 3 cm); sharp lower boundaries; sand is 5Y 4/1 colored,,,,,
341-U1419A-8H-7-A,35,73,67.59,67.97,,mud [Leg210],with sand [Leg339],mud with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"highly disturbed, mousselike and soupy, sand-mud mix",,,,,
341-U1419A-8H-CC-A,0,18,67.97,68.15,,mud [Leg210],with sand [Leg339],mud with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"highly disturbed, mousselike and soupy, sand-mud mix",,,,,
341-U1419A-8H-CC-A,18,24,68.15,68.21,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419A-9H-1-A,0,74,67.4,68.14,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone),,,,N 4 (dark gray),moderate [DB86],2,present [A79],1,,,,,granule [W22_2],rounded,,,,"1 granule, argillite at 14 cm",,,,,
341-U1419A-9H-1-A,74,141,68.14,68.81,muddy [Leg339],sand [Leg210],,muddy [Leg339] sand,,,,N 4 (dark gray),,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,"1 clast 5 cm, greywacke",,,,,
341-U1419A-9H-1-A,141,147,68.81,68.87,,sand [Leg210],,sand,,,,N 4 (dark gray),,,,,,,,,,,,,,"fine sand, well sorted",,,,,
341-U1419A-9H-2-A,0,3,68.87,68.9,,sand [Leg210],,sand,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,planar,,,
341-U1419A-9H-2-A,3,45,68.9,69.32,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone),,,,N 4 (dark gray),,,,,,,,,,,,,,"8 silt laminae, mud 8 cm or less; ",gradational contact,,,,
341-U1419A-9H-2-A,45,70,69.32,69.57,,mud [Leg210],,mud,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,
341-U1419A-9H-2-A,70,90,69.57,69.77,,sand [Leg210],with mud [Leg339],sand with mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,coarse sand,sharp contact,,,,
341-U1419A-9H-2-A,90,149,69.77,70.36,silty,mud [Leg210],,silty mud,,,,N 4 (dark gray),,,present [A79],10,,,pebble [W22_2],subrounded,granule [W22_2],subrounded,,,,granules and small pebbles,,,,,
341-U1419A-9H-2-A,149,154,70.36,70.41,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1419A-9H-3-A,0,57,70.41,70.98,silty,mud [Leg210],,silty mud,,,,N 4 (dark gray),,,present [A79],13,,,pebble [W22_2],rounded,pebble [W22_2],subangular,,,,"chert, 2.5 cm, rounded at 20 cm, argillie, subangular, 1.5 cm, at 24 cm, sandstone, 1.5 cm, subrounded, at 45 cm; ",,,,,
341-U1419A-9H-3-A,57,119,70.98,71.6,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone),,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,"1 clast 3cm, sandstone, at 74 cm; 10 silt laminae, mud 10 cm or less; 
",,,,,
341-U1419A-9H-3-A,119,148,71.6,71.89,,mud [Leg210],with silt [Leg339],mud with silt ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,
341-U1419A-9H-4-A,0,14,71.89,72.03,diatom bearing,mud [Leg210],with silt [Leg339],diatom bearing mud with silt ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1419A-9H-4-A,14,30,72.03,72.19,,mud [Leg210],with silt [Leg339],mud with silt ,,,,10Y 3/1 (very dark greenish gray),none [DB86],0,present [A79],5,,,,,,,,,,,,,,,
341-U1419A-9H-4-A,30,51,72.19,72.4,diatom bearing,mud [Leg210],with silt [Leg339],diatom bearing mud with silt ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],1,,,,,,,,,,,,,,,
341-U1419A-9H-4-A,51,150,72.4,73.39,muddy [Leg339],silt [Leg210],,muddy [Leg339] silt,,,,N 4 (dark gray),none [DB86],0,present [A79],31,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,,,"clasts include chert breccia, siltstone, conglomerate greenstone;
78cm - brown mud clast?",,,,,
341-U1419A-9H-4-A,150,155,73.39,73.44,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1419A-9H-5-A,0,114,73.44,74.58,muddy [Leg339],silt [Leg210],,muddy [Leg339] silt,,,,N 4 (dark gray),none [DB86],0,present [A79],27,,,,,,,shell fragment,,,"2cm siltstone @ 106cm;
shell fragment @ 93cm",,,,,
341-U1419A-9H-CC-A,0,44,74.58,75.02,muddy [Leg339],silt [Leg210],,muddy [Leg339] silt,,,,N 4 (dark gray),none [DB86],0,present [A79],11,,,,,,,shell fragment,,,shell fragment @ 41cm,,,,,
341-U1419A-9H-CC-A,44,49,75.02,75.07,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419A-10H-1-A,0,10,75,75.1,,mud [Leg210],,mud,,,,N 4 (dark gray),,,present [A79],2,,,pebble [W22_2],angular,,,,,,"2 metasandstone pebbles, 3 and 6 cm",,,,,
341-U1419A-10H-1-A,10,20,75.1,75.2,,sand [Leg210],,sand,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419A-10H-1-A,20,51,75.2,75.51,,mud [Leg210],,mud,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,
341-U1419A-10H-1-A,51,55,75.51,75.55,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1419A-10H-1-A,55,112,75.55,76.12,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,pebble [W22_2],subrounded,,,,"argillite granule at 72 cm, argillite pebble 3.5 cm at 98",,,,,
341-U1419A-10H-2-A,0,149,76.12,77.61,,mud [Leg210],with common clasts,mud with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"basalt pebble 3 cm at 115 cm, 2 argillite granules;",,,,,
341-U1419A-10H-3-A,0,12,77.61,77.73,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone),,,,N 4 (dark gray),,,,,,,,,,,,,,10 silt laminae,gradational contact,,,,
341-U1419A-10H-3-A,12,15,77.73,77.76,,sand [Leg210],,sand,,,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,planar,,,
341-U1419A-10H-3-A,15,149,77.76,79.1,diatom rich,mud [Leg210],,diatom rich mud,,,,10Y 3/1 (very dark greenish gray),,,present [A79],3,,,,,granule [W22_2],subrounded,,,,"3 lonestone granules, argillite; mud darkens downwards due to increase in black mottles (FeO); at cm 124 mud is only ""with diatoms"", =less than 10%",,,,,
341-U1419A-10H-4-A,0,146,79.1,80.56,,mud [Leg210],,mud ,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,silt lamina with white mica at 100 cm,,,,,
341-U1419A-10H-5-A,0,121,80.56,81.77,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),none [DB86],0,present [A79],11,,,,,pebble [W22_2],subrounded,,,,"black mottling;
metasiltstones @ 12, 103cm",gradational contact,,,,
341-U1419A-10H-5-A,121,139,81.77,81.95,diatom bearing,mud [Leg210],with radiolarians [Leg339],diatom bearing mud  with radiolarians ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],5,,,,,,,,,,,,,,,
341-U1419A-10H-6-A,0,119,81.95,83.14,diatom bearing,mud [Leg210],with radiolarians [Leg339],diatom bearing mud  with radiolarians ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],11,pebble [W22_2],subangular,,,,,shell fragment,,,"black mottling (thin);
granite (1.5cm) @17cm;
shell fragment @ 90cm
",,,,,
341-U1419A-10H-CC-A,0,18,83.14,83.32,diatom bearing,mud [Leg210],with radiolarians [Leg339],diatom bearing mud  with radiolarians ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],4,,,,,,,,,,,,,,,
341-U1419A-10H-CC-A,18,22,83.32,83.36,,mud [Leg210],with foraminifers [Leg339],mud  with foraminifers ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,many microscopic donut shaped fossils,,,,,
341-U1419A-10H-CC-A,22,60,83.36,83.74,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],1,,,,,,,,,,51cm: thin layer of mica,,,,,
341-U1419A-10H-CC-A,60,65,83.74,83.79,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419A-11H-1-A,0,130,84.5,85.8,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],7,,,,,pebble [W22_2],rounded,,,,"argillite clast, elongate, 3 cm, rounded, at 70 cm; all other clasts granules; cottage cheese structure",,,,,
341-U1419A-11H-2-A,0,50,85.8,86.3,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,,,pebble [W22_2],rounded,,,,"metasiltstone pebble 2 cm at 8 cm; many horizontal and irregular cracks, due to drying?",gradational contact,,,,
