Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links
351-U1438D-2R-3-A,351,U1438,D,2,2-3,R,3,A,,55.0,63.0,222.22,222.3,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,clay [W22_1],1,silt [W22_1],2,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-CC-A,351,U1438,D,2,2-CC,R,CC,A,,0.0,31.0,222.3,222.61,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,0.0,32.0,228.5,228.82,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,irregular,bioturbated,inclined,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,32.0,62.0,228.82,229.12,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,clay [W22_1],1,silt [W22_1],2,,planar,gradational,inclined,,poor [2014],normally graded,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,62.0,72.0,229.12,229.22,,,,,tuffaceous,sandstone [2014],,tuffaceous sandstone,tuffaceous sandstone,sand,,,5YR 6/1 (gray),,very fine sand [W22_2],3,medium sand [W22_2],5,,planar,sharp,inclined,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,72.0,91.0,229.22,229.41,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,irregular,bioturbated,inclined,,poor [2014],normally graded,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,91.0,103.0,229.41,229.53,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,irregular,wavy,inclined,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,103.0,125.0,229.53,229.75,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,planar,sharp,sub-horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,125.0,128.0,229.75,229.78,,,,,tuffaceous,sandstone [2014],,tuffaceous sandstone,tuffaceous sandstone,sand,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,planar,sharp,sub-horizontal,,poor [2014],,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-1-A,351,U1438,D,3,3-1,R,1,A,,128.0,146.0,229.78,229.96,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-3R-CC-A,351,U1438,D,3,3-CC,R,CC,A,,0.0,13.0,229.96,230.09,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-1-A,351,U1438,D,4,4-1,R,1,A,,0.0,8.0,229.5,229.58,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5Y 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,"bedding 43-90, 65-180",,gradational,,,,,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-1-A,351,U1438,D,4,4-1,R,1,A,,8.0,39.0,229.58,229.89,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5GY 6/1 (greenish gray),,silt [W22_1],2,very fine sand [W22_2],3,,,wavy,,,,,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-1-A,351,U1438,D,4,4-1,R,1,A,,39.0,43.0,229.89,229.93,,,,,tuffaceous,sandstone [2014],,tuffaceous sandstone,tuffaceous sandstone,sandstone,,,N 3 (very dark gray),,very fine sand [W22_2],3,medium sand [W22_2],5,,,gradational,,,,,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-1-A,351,U1438,D,4,4-1,R,1,A,,43.0,56.0,229.93,230.06,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,5GY 6/1 (greenish gray),,silt [W22_1],2,silt [W22_1],2,,,wavy,,,,,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-1-A,351,U1438,D,4,4-1,R,1,A,,56.0,70.0,230.06,230.2,,,,,,tuff [2014],,tuff,tuff,tuff,,,5YR 5/2 (reddish gray),,silt [W22_1],2,very fine sand [W22_2],3,"reverse fault 62-270, 40-180",,sharp,,,,,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-1-A,351,U1438,D,4,4-1,R,1,A,,70.0,128.0,230.2,230.78,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,5GY 6/1 (greenish gray),,silt [W22_1],2,very fine sand [W22_2],3,,,,,,,,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-2-A,351,U1438,D,4,4-2,R,2,A,,0.0,18.0,230.95,231.13,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,5GY 6/1 (greenish gray),,silt [W22_1],2,silt [W22_1],2,,,gradational,,,,,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-2-A,351,U1438,D,4,4-2,R,2,A,,18.0,61.0,231.13,231.56,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,5G 6/1 (greenish gray),,silt [W22_1],2,silt [W22_1],2,,,,,,,,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-4R-CC-A,351,U1438,D,4,4-CC,R,CC,A,,5.0,15.0,231.61,231.71,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,5Y 4/1 (dark gray),,silt [W22_1],2,silt [W22_1],2,,,,,,,,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,0.0,10.0,238.2,238.3,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,irregular,wavy,sub-horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,10.0,36.0,238.3,238.56,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,fine sand [W22_2],4,,irregular,sharp,sub-horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,36.0,48.0,238.56,238.68,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,,gradational,sub-horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,48.0,53.0,238.68,238.73,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,irregular,gradational,sub-horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,53.0,64.0,238.73,238.84,,,,,tuffaceous,sandstone [2014],,tuffaceous sandstone,tuffaceous sandstone,sand,,,N 3 (very dark gray),,fine sand [W22_2],4,medium sand [W22_2],5,,irregular,sharp,sub-horizontal,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,64.0,80.0,238.84,239.0,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,irregular,gradational,sub-horizontal,,poor [2014],,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,80.0,92.0,239.0,239.12,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,irregular,gradational,sub-horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,92.0,117.0,239.12,239.37,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,irregular,gradational,sub-horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-1-A,351,U1438,D,5,5-1,R,1,A,,117.0,125.0,239.37,239.45,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,,,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-5R-CC-A,351,U1438,D,5,5-CC,R,CC,A,,0.0,9.0,239.45,239.54,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,,,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-1-A,351,U1438,D,6,6-1,R,1,A,,0.0,22.0,247.9,248.12,,,,,tuffaceous,breccia-conglomerate [2014b],,tuffaceous breccia-conglomerate,tuffaceous breccia-conglomerate,breccia-conglomerate,,,N 4 (dark gray),,coarse sand [W22_2],6,granule [W22_2],8,,,sharp,,,,,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-1-A,351,U1438,D,6,6-1,R,1,A,,22.0,104.0,248.12,248.94,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5Y 6/1 (gray),,silt [W22_1],2,silt [W22_1],2,"Bedding 24-270, 10-360",,gradational,,,,,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-1-A,351,U1438,D,6,6-1,R,1,A,,104.0,114.0,248.94,249.04,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5Y 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,,gradational,,,,,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-1-A,351,U1438,D,6,6-1,R,1,A,,114.0,120.0,249.04,249.1,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,N 4 (dark gray),,silt [W22_1],2,fine sand [W22_2],4,,,gradational,,,,,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-1-A,351,U1438,D,6,6-1,R,1,A,,120.0,132.0,249.1,249.22,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,N 4 (dark gray),,silt [W22_1],2,silt [W22_1],2,,,gradational,,,,,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-1-A,351,U1438,D,6,6-1,R,1,A,,132.0,142.0,249.22,249.32,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,N 4 (dark gray),,silt [W22_1],2,silt [W22_1],2,Prominent soft sediment deformation,,,,,,,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-2-A,351,U1438,D,6,6-2,R,2,A,,0.0,60.0,249.32,249.92,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,N 4 (dark gray),,silt [W22_1],2,very fine sand [W22_2],3,Prominent soft sediment deformation,,gradational,,,,,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-2-A,351,U1438,D,6,6-2,R,2,A,,60.0,71.0,249.92,250.03,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,N 4 (dark gray),,silt [W22_1],2,silt [W22_1],2,,,,,,,,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-6R-CC-A,351,U1438,D,6,6-CC,R,CC,A,,0.0,11.0,250.03,250.14,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,0.0,13.0,257.6,257.73,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5GY 6/1 (greenish gray),consolidated [2014],silt [W22_1],2,silt [W22_1],2,,irregular,gradational,horizontal,,moderate [2014],,planar lamination,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,13.0,48.0,257.73,258.08,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,N 4 (dark gray),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,inclined,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,48.0,58.0,258.08,258.18,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,N 2.5 (black),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,irregular,sharp,horizontal,,poor [2014],non-graded,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,58.0,66.0,258.18,258.26,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5GY 6/1 (greenish gray),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,inclined,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,66.0,77.0,258.26,258.37,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),consolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,sharp,inclined,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,77.0,85.0,258.37,258.45,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,N 3 (very dark gray),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,inclined,,moderate [2014],non-graded,cross-bedded,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,85.0,118.0,258.45,258.78,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5GY 6/1 (greenish gray),consolidated [2014],clay [W22_1],1,silt [W22_1],2,,planar,gradational,inclined,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,118.0,130.0,258.78,258.9,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5G 6/1 (greenish gray),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,,irregular,sharp,inclined,,poor [2014],normally graded,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-1-A,351,U1438,D,7,7-1,R,1,A,,130.0,150.0,258.9,259.1,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),consolidated [2014],silt [W22_1],2,silt [W22_1],2,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-2-A,351,U1438,D,7,7-2,R,2,A,,0.0,9.0,259.1,259.19,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),consolidated [2014],silt [W22_1],2,silt [W22_1],2,,irregular,gradational,horizontal,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-7R-2-A,351,U1438,D,7,7-2,R,2,A,,9.0,18.0,259.19,259.28,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 2.5/1 (greenish black),consolidated [2014],silt [W22_1],2,silt [W22_1],2,,irregular,gradational,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
