Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Unnamed: 120,eodp_id
342-U1409A-11H-CC-PAL,342,U1409,A,11,11-CC,H,CC,PAL,0,10,96.35,96.45,VG [P21],P,,,,,,P,,F,,P,,,P,F,,,,,,,,F,,P,,,,F,,,,,F,F,,,,P,,,,,,F,,,,,,,,F,,,,,F,,F,F,,,,,,A,,,,,F,,,P,,,,,,,P,,,,P,P,P,,,,A,P,,F,,,,,,,,,P,,,,15224659c2d26ff714217c2cf36531df
342-U1409A-12H-CC-PAL,342,U1409,A,12,12-CC,H,CC,PAL,0,10,105.91,106.01,G [P21],P,,,,,,P,,P,,,P,,,F,,,,,,,F,F,,,P,,,F,P,P,,,A,P,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,A,,,P,,F,,,,,,,,,,,,,,P,,,,,,F,P,,,D,,,,,,,,P,,,,a5a659b39f2200aebbf3698add08fc54
342-U1409A-13H-CC-PAL,342,U1409,A,13,13-CC,H,CC,PAL,0,10,115.41,115.51,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,"only few specimens, so all rated P",,,e75331e8ecaa277e8c198aa2eafedc38
342-U1409A-14H-CC-PAL,342,U1409,A,14,14-CC,H,CC,PAL,0,10,124.86,124.96,M [P21],P,,,,,,,,F,,,,,,F,,,,,,,,P,,,,,,A,,P,,,F,,,,,P,,,,,,,,,,,,,,F,,,P,,,,F,P,,,,,,A,,,,,A,,,P,,,,,,,,,,,,,P,,,,,,,P,F,,,,,,,,F,,,,8ce6e2ff297534402c05d599d2ebfd40
342-U1409A-15H-CC-PAL,342,U1409,A,15,15-CC,H,CC,PAL,0,8,126.05,126.13,G [P21],P,,,,,,,,F,,,,,,F,,,,,P,,F,P,,,,,,F,,P,,,F,P,,,,F,,,,,P,,,,,,,F,,P,,,,,,,,P,,,,,,A,,,,P,A,,,F,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,F,,,,ed0f7f97018455d521aa9d5f349bc4ae
342-U1409A-16H-CC-PAL,342,U1409,A,16,16-CC,H,CC,PAL,0,12,126.91,127.03,G [P21],P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,A,F,F,,,F,,,,,,,,,,,,,,,,,,,,,P,,A,F,,,,,,,,,,,,01b7ff0007822eea74b185ac7287a3ac
342-U1409A-17X-CC-PAL,342,U1409,A,17,17-CC,X,CC,PAL,0,8,131.29,131.37,G [P21],P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,"only few specimens, so all rated P",,,5eb31b77c49167341c274462125470dc
342-U1409A-18X-CC-PAL,342,U1409,A,18,18-CC,X,CC,PAL,0,5,138.96,139.01,G [P21],P,,,,F,,P,,,,F,P,,,P,,,,,P,,F,P,,,,,,P,P,P,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,,,,,A,,,,P,,,F,,,,,,,,,,P,,,,,,,,,,,,,,,,82ee0fba4038ad904e39c8013b97d168
342-U1409A-19X-CC-PAL,342,U1409,A,19,19-CC,X,CC,PAL,0,3,141.2,141.23,M [P21],P,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,P,P,,,,,,P,,,,,P,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,"only few specimens, so all rated P",,,0d49ecdc30aa07b38f53f19697ec5b8e
342-U1409A-20X-CC-PAL,342,U1409,A,20,20-CC,X,CC,PAL,0,5,160.56,160.61,G [P21],P,,,,,,P,,F,,,,,,P,,,,,,,,,,,,,,,P,,P,F,D,,,,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,F,,P,,,,,,,P,,,,,,,,,F,,,,d582d894e3fa07a7ee22c11720af93e2
342-U1409A-21X-CC-PAL,342,U1409,A,21,21-CC,X,CC,PAL,0,5,162.68,162.73,G [P21],P,,,,,,P,,P,,,,,,F,,,,,P,,,,,,,,,,P,,P,P,A,F,,,,P,,,,,,P,,,,,P,,P,P,,,,,P,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,,P,,,,,,P,A,,,,,,,,,,,,df5110e0980881d51c0fc331f7e4a314
342-U1409A-22X-CC-PAL,342,U1409,A,22,22-CC,X,CC,PAL,0,5,179.32,179.37,M [P21],D,F,,,,,,P,F,,,,,,A,,,,,P,,,,,,,,,,F,,F,F,F,P,,,,P,,,,,,,,,,,,,P,P,,,,,F,,P,,,,,,P,P,,,,F,F,,,,F,P,,,,,,,,,,,,P,,,P,,,,F,,,,,,,,F,,,,dfee457af32a854da973cfc779d5bf82
342-U1409A-23X-CC-PAL,342,U1409,A,23,23-CC,X,CC,PAL,0,13,188.38,188.51,G [P21],P,P,,,,,P,,P,,,,,,F,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabfe86f8572a8d99e059cc77eb42dde
342-U1409A-24X-CC-PAL,342,U1409,A,24,24-CC,X,CC,PAL,0,12,196.97,197.09,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649ce0f7f08e7abf4126ec5749cf7b44
342-U1409A-25X-CC-PAL,342,U1409,A,25,25-CC,X,CC,PAL,0,5,197.75,197.8,M [P21],P,P,P,,,,,,,,P,P,,,F,,,,,,,,,,,,,,,F,,F,,F,,,,,,,,,,P,,,,,,F,F,F,,,,,,,,F,,,,,,,F,,P,,P,P,,,P,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,97ef91d2ef7adeb8c50463f7b0d339c2
342-U1409A-26X-CC-PAL,342,U1409,A,26,26-CC,X,CC,PAL,0,5,200.0,200.05,M [P21],P,P,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"only few specimens, so all rated P",,,fac9afe0419a181165a40f07b3527973
