Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,eodp_id
339-U1387C-23R-CC-PAL-FORAM,339,U1387,C,23,23-CC,R,CC,PAL,FORAM,0,5,499.79,499.84,,,,P,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,f25f83ccd9bcefce1de4b4373d0be79d
339-U1387C-25R-CC-PAL-FORAM,339,U1387,C,25,25-CC,R,CC,PAL,FORAM,0,5,520.19,520.24,,,,,,,,,,,R,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,da45576c3caa024b50cef27fde17729e
339-U1387C-26R-CC-PAL-FORAM,339,U1387,C,26,26-CC,R,CC,PAL,FORAM,0,5,527.91,527.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,3364d69c3220534559b716248ecd10c1
339-U1387C-27R-CC-PAL-FORAM,339,U1387,C,27,27-CC,R,CC,PAL,FORAM,0,5,539.4,539.45,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,0a8734b0b77458cb4200108f3272ff30
339-U1387C-29R-CC-PAL-FORAM,339,U1387,C,29,29-CC,R,CC,PAL,FORAM,0,5,558.56,558.61,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,81f54b6fb9919c3d5a0ff102eb60c957
339-U1387C-30R-CC-PAL-FORAM,339,U1387,C,30,30-CC,R,CC,PAL,FORAM,0,5,564.83,564.88,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,b9bb54f63c6a9b4c00934404b391dd7f
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,713b1346583d8040ae9497e7f87d6983
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,,,,P,,,,,,,,,,,P,,,,,,,,,,,,F,P,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,ccf704067d3b74f5c51cbcb15dfdbc92
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,6c638e5b22abdc28c1bf7d7955600c45
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,,,,,,,,,,,P,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,6d11f560184c375d6610270360bdc6ec
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,,,,,,,,,,,P,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,73475ee0f85cf1668c1985e2a815501c
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,b4ac821b9e141f092220037f6f47409e
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,,,,R,,,,,,,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,2a8905ccf92a3b2c0f57686ecd402a2b
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,,,,,,,,,,,,,,,P,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,01876f841992e84a766af6934c2e8113
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1a6ee6da9a85f527139df54a0d2c2c8
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,146a34812d8b74909be44d274dfd30d1
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,bb27be8663c2da85a0726783cdcf2cd2
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,3911085c156dd58f6fa840452ea20755
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,2,PAL,FORAM,0,4,685.76,685.8,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,R,,,,,,,,716d0b68727389c13078f9fd75e064ac
339-U1387C-48R-CC-PAL-FORAM,339,U1387,C,48,48-CC,R,1,PAL,FORAM,0,5,737.45,737.5,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b58d08da5cce1d0b33b13c14deacbf0
339-U1387C-49R-CC-PAL-FORAM,339,U1387,C,49,49-CC,R,CC,PAL,FORAM,0,3,748.1,748.13,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,7f7952528dc1668be61bd5761c2f44f4
339-U1387C-50R-CC-PAL-FORAM,339,U1387,C,50,50-CC,R,CC,PAL,FORAM,0,3,752.45,752.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,cd02c96042ed923cb724d0ab413d1dd6
339-U1387C-51R-CC-PAL-FORAM,339,U1387,C,51,51-CC,R,CC,PAL,FORAM,0,5,765.69,765.74,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,6f6364e24caaed033b8a88c243edf99a
339-U1387C-52R-CC-PAL-FORAM,339,U1387,C,52,52-CC,R,CC,PAL,FORAM,0,6,772.92,772.98,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6a4380b1113d555d4b666c360114accc
339-U1387C-53R-6-PAL-FORAM,339,U1387,C,53,53-6,R,CC,PAL,FORAM,0,5,786.65,786.7,,,,R,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,R,,,,,F,,,,,,,,4dae7e55b90bbca9860bbd168588a6d4
339-U1387C-54R-3-PAL-FORAM,339,U1387,C,54,54-3,R,CC,PAL,FORAM,0,5,792.76,792.81,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,98b0a25f7f186a5af2a2ed472dac0962
339-U1387C-55R-CC-PAL-FORAM,339,U1387,C,55,55-CC,R,6,PAL,FORAM,0,6,805.62,805.68,,,,R,,,,,,,P,,,,,,,,R,A,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,4669d2a3d6375aabf83131d2a1fe63ba
339-U1387C-56R-7-PAL-FORAM,339,U1387,C,56,56-7,R,3,PAL,FORAM,0,5,817.13,817.18,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,,,,,,,c29100640f7db655d9670b6a847c9579
339-U1387C-57R-CC-PAL-FORAM,339,U1387,C,57,57-CC,R,CC,PAL,FORAM,0,3,824.6,824.63,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,7300b27a10ecff7baf4d4055aab99371
339-U1387C-58R-CC-PAL-FORAM,339,U1387,C,58,58-CC,R,7,PAL,FORAM,0,5,834.33,834.38,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,a9ffd8e036e17ff34933f4830378b9d0
339-U1387C-59R-CC-PAL-FORAM,339,U1387,C,59,59-CC,R,CC,PAL,FORAM,0,5,845.56,845.61,,,,P,,,,,,,P,,,,,,,,,P,,,,,,,R,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,69655e9cae28a08e49768796521ab5fb
339-U1387C-60R-CC-PAL-FORAM,339,U1387,C,60,60-CC,R,CC,PAL,FORAM,0,3,846.4,846.43,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,R,,,,,,,,debe21384ebdfabe2cb2e514937c5c65
339-U1387C-61R-CC-PAL-FORAM,339,U1387,C,61,61-CC,R,CC,PAL,FORAM,0,5,865.8,865.85,,,,R,,,,,,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,1282a224af1d531915760b43502bebb5
