Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1387B-15X-CC-PAL-FORAM,339,U1387,B,15,15-CC,X,CC,PAL,FORAM,0,5,142.02,142.07,,,G,D,F,P,,,,R,,,,R,P,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,D,R,R,,,,,,,P,,,,486cc8693b7ea983bb212633c2f2e8a5
339-U1387B-16X-CC-PAL-FORAM,339,U1387,B,16,16-CC,X,CC,PAL,FORAM,0,5,148.75,148.8,,,VG,D,A,,,,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,A,R,P,,,,,,,F,,,,39d79013c9af18009090e5ebfacf80b7
339-U1387B-17X-CC-PAL-FORAM,339,U1387,B,17,17-CC,X,CC,PAL,FORAM,0,5,156.73,156.78,,,G,D,A,P,,,,F,,,,R,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,A,P,R,,,,,,,R,,,,e5aa68caa42a8774c1520c5e6a980f34
339-U1387B-18X-CC-PAL-FORAM,339,U1387,B,18,18-CC,X,CC,PAL,FORAM,0,5,166.57,166.62,,,G,D,A,P,,,,F,P,,,P,P,,,,,,,,,P,,P,,,,,,,,,,P,,,,,,,F,R,R,,,,,,,F,,,,a0c89efb59a070e89fc5100a0694b192
339-U1387B-19X-CC-PAL-FORAM,339,U1387,B,19,19-CC,X,CC,PAL,FORAM,0,5,175.81,175.86,,,G,D,F,R,,,,F,,,P,R,R,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,F,R,R,,,,,,,P,,,,137ba377e0050c447c9fd5f1ea0cf538
339-U1387B-20X-CC-PAL-FORAM,339,U1387,B,20,20-CC,X,CC,PAL,FORAM,0,5,185.32,185.37,,,G,D,A,R,,,,A,,,R,R,R,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,F,P,P,,,,,,,P,,,,2e4db82acb28b22d3e65bb6fbf764b19
339-U1387B-21X-CC-PAL-FORAM,339,U1387,B,21,21-CC,X,CC,PAL,FORAM,0,5,194.88,194.93,,,M,D,F,R,,,,A,,,,R,R,P,,,,,,,,P,,P,,,,,,,,,,P,,,,,,,A,R,,,,,,,,F,,,,8a9dd8df0d61715575c03e3d43e5961f
339-U1387B-22X-CC-PAL-FORAM,339,U1387,B,22,22-CC,X,CC,PAL,FORAM,0,5,204.41,204.46,,,M,D,F,P,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,D,P,,,,,,,F,,,,5dceb28ac89abbe3b92b2b9d2a67632e
339-U1387B-23X-CC-PAL-FORAM,339,U1387,B,23,23-CC,X,CC,PAL,FORAM,0,5,214.04,214.09,,,VG,D,D,F,,,,A,,,,,R,P,,,,P,,R,,R,P,,,,,,,,,,,P,,,,,,,A,,R,,,,,,,P,,,,900b0f8b00c2313cfb654fa20f801099
339-U1387B-24X-CC-PAL-FORAM,339,U1387,B,24,24-CC,X,CC,PAL,FORAM,0,5,223.43,223.48,,,VG,D,A,P,,,,F,,,,P,P,,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,D,D,R,,,,,,,R,specimens of various radiolaria species in sample,,,725074fc555a4939d2289cb36b82c5ff
339-U1387B-25X-CC-PAL-FORAM,339,U1387,B,25,25-CC,X,CC,PAL,FORAM,0,7,232.53,232.6,,,G,D,F,P,,,,R,,,,,P,,,,,,,P,,,P,,,,,,,,,,,P,,,,,,,D,D,R,,,,,,,P,,,,1c5edfebdbabd3005433376f8b2ffc83
339-U1387B-26X-CC-PAL-FORAM,339,U1387,B,26,26-CC,X,CC,PAL,FORAM,0,5,242.69,242.74,,,G,D,A,R,,,,R,,,,P,P,P,,,,,,R,,P,R,,,,,,,,,,,P,P,,,,,,A,F,R,P,,,,,,R,ratio planktonic/ benthic foraminifers ca. 50:50,,,bb6d74048a5028b566b0b5e41ac06197
339-U1387B-27X-CC-PAL-FORAM,339,U1387,B,27,27-CC,X,CC,PAL,FORAM,0,6,243.48,243.54,,,G,D,A,F,,,,F,P,,,P,,R,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,F,R,,,,,,,P,,,,56f36412d9ad023e5c7ac5ffe0fd0663
339-U1387B-28X-CC-PAL-FORAM,339,U1387,B,28,28-CC,X,CC,PAL,FORAM,0,5,262.52,262.57,,,G,D,A,R,,,,R,,,,,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,D,R,R,,,,,,,P,ratio planktonic/ benthic foraminifers ca. 50:50,,,94f823c72a289cee1d3f45abbf675dd6
339-U1387B-29X-CC-PAL-FORAM,339,U1387,B,29,29-CC,X,CC,PAL,FORAM,0,5,271.73,271.78,,,G,D,A,F,,,,R,,,,,R,,,,,,,,,P,P,,,,,,,,,,,P,,P,P,,,,A,P,P,,,,,,,R,ratio planktonic/ benthic foraminifers ca. 50:50,,,0b322ef4b3766e445490c4bfcbf87d92
339-U1387B-30X-CC-PAL-FORAM,339,U1387,B,30,30-CC,X,CC,PAL,FORAM,0,5,281.3,281.35,,,G,D,A,F,,,,A,,,,P,P,,,,,,,,,R,P,,,,,,,,,,,P,,P,,,,,A,P,P,,,,,,,P,,,,a4c30fcbe778fd315615ae92c374363b
339-U1387B-31X-CC-PAL-FORAM,339,U1387,B,31,31-CC,X,CC,PAL,FORAM,0,6,290.81,290.87,,,G,D,A,A,,,,R,,P,,,P,,,,,,,,,P,R,,,,,,,,,,,P,,,P,,,,A,,P,,,,,,P,P,,,,786c480c5dc6a0f4768c32c471262478
339-U1387B-32X-CC-PAL-FORAM,339,U1387,B,32,32-CC,X,CC,PAL,FORAM,0,5,300.71,300.76,,,M,D,F,R,,,P,,,P,,,,P,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,D,P,R,,,,,,,,ratio planktonic/ benthic foraminifers ca. 50:50,,,751fc7a9082630bfaf22f0f27ebd9096
339-U1387B-33X-CC-PAL-FORAM,339,U1387,B,33,33-CC,X,CC,PAL,FORAM,0,5,310.12,310.17,,,M,D,F,R,,,,R,,,,,P,,,,,,,,,P,P,P,,,,,,,,,,,,,,P,,,D,,P,,,,,,,R,,,,343d1a8df2bb8373c4813acde2106ec5
339-U1387B-34X-CC-PAL-FORAM,339,U1387,B,34,34-CC,X,CC,PAL,FORAM,0,5,319.37,319.42,,,P,,R,R,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,D,,,,,,,,,,highly fragmented shells; only few specimens with more resistant shells,,,e37c6670da86ba329efb782fa92461aa
339-U1387B-35X-CC-PAL-FORAM,339,U1387,B,35,35-CC,X,CC,PAL,FORAM,0,5,328.92,328.97,,,M,D,F,P,,,,R,,,,P,P,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,D,P,P,,,,,,,R,,,,3746ce7beebfcec67c080477842fe84f
339-U1387B-36X-CC-PAL-FORAM,339,U1387,B,36,36-CC,X,CC,PAL,FORAM,0,5,337.94,337.99,,,M,D,F,P,,,,R,,,,,,,,,,P,,,,P,R,,,,,,,,,,,P,,,,P,,,R,D,P,,,,,,,F,,,,be2f9ee6aac23e8b0710f70f89c2a22c
