Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1386B-12H-CC-PAL-FORAM,339,U1386,B,12,12-CC,H,CC,PAL,FORAM,0,5,110.71,110.76,B ,,G ,D ,A ,P ,,,,F ,,,P ,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,A ,,R ,,,,,,,R ,,,
339-U1386B-13H-CC-PAL-FORAM,339,U1386,B,13,13-CC,H,CC,PAL,FORAM,0,5,119.88,119.93,B ,,G ,D ,A ,R ,,,,F ,,,P ,,R ,P ,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,,,,
339-U1386B-14H-CC-PAL-FORAM,339,U1386,B,14,14-CC,H,CC,PAL,FORAM,0,8,129.71,129.79,B ,,G ,D ,F ,B ,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,D ,F ,R ,,,,,,,P ,,,
339-U1386B-15H-CC-PAL-FORAM,339,U1386,B,15,15-CC,H,CC,PAL,FORAM,0,5,141.28,141.33,B ,,G ,D ,A ,R ,,,,A ,,,,,R ,,,,,P ,,,,P ,P ,,,,,,,,,,,R ,,,,,,,A ,,F ,,,,,,,,,,
339-U1386B-16H-CC-PAL-FORAM,339,U1386,B,16,16-CC,H,CC,PAL,FORAM,0,5,148.05,148.1,B ,,G ,D ,A ,R ,,,,F ,,,,,R ,,,,,,,,,P ,P ,P ,,,,,,,,,,P ,,,P ,,,,A ,P ,R ,,,,,,,,,,
339-U1386B-17H-CC-PAL-FORAM,339,U1386,B,17,17-CC,H,CC,PAL,FORAM,0,5,158.22,158.27,B ,,G ,D ,A ,R ,,,,A ,,,,,P ,P ,,,,,,,,P ,P ,P ,,,,,,,,,,P ,,,P ,,,,R ,,R ,,,,,,,B ,,,
339-U1386B-18H-CC-PAL-FORAM,339,U1386,B,18,18-CC,H,CC,PAL,FORAM,0,5,162.28,162.33,B ,,G ,A ,A ,R ,,,,F ,,,,,P ,,,,,P ,,,,P ,P ,,,,,,,,,,,P ,,,P ,,,,A ,,R ,,,,,,,P ,,,
339-U1386B-19X-CC-PAL-FORAM,339,U1386,B,19,19-CC,X,CC,PAL,FORAM,0,5,170.22,170.27,R ,,G ,D ,A ,F ,,,,R ,,,,P ,R ,P ,,,,,,P ,,R ,R ,,,,,,,,,,,P ,P ,,,,,,A ,,R ,,,,,,,R ,,,
339-U1386B-21X-CC-PAL-FORAM,339,U1386,B,21,21-CC,X,CC,PAL,FORAM,0,5,186.34,186.39,B ,,M ,D ,F ,P ,,,,R ,,,,P ,,,,,,,,,,P ,R ,,,,,,,,,,,P ,,,,,,,D ,P ,P ,,,,,,,R ,,,
339-U1386B-22X-CC-PAL-FORAM,339,U1386,B,22,22-CC,X,CC,PAL,FORAM,0,5,196.7,196.75,B ,,G ,A ,A ,P ,,,,F ,,,,P ,R ,P ,,,,,,,,,P ,,,,,,,,,,,P ,,P ,P ,,,,A ,P ,P ,,,,,,,R ,,,
339-U1386B-23X-CC-PAL-FORAM,339,U1386,B,23,23-CC,X,CC,PAL,FORAM,0,5,204.83,204.88,B ,,G ,A ,F ,P ,,,,F ,,,,,,,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,A ,P ,P ,,,,,,,F ,,,
339-U1386B-24X-CC-PAL-FORAM,339,U1386,B,24,24-CC,X,CC,PAL,FORAM,0,5,214.55,214.6,B ,,G ,A ,F ,P ,,,,F ,,,,P ,R ,,,,,,,,,R ,P ,,,,,,,,,,,P ,,,P ,,,,A ,P ,P ,,,,,,,R ,,,
339-U1386B-25X-CC-PAL-FORAM,339,U1386,B,25,25-CC,X,CC,PAL,FORAM,0,5,224.12,224.17,B ,,M ,F ,R ,,,,,R ,,,,,P ,,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,R ,D ,,,,,,,,F ,,,
339-U1386B-26X-CC-PAL-FORAM,339,U1386,B,26,26-CC,X,CC,PAL,FORAM,0,5,235.26,235.31,B ,,G ,A ,P ,,,,,A ,,,,,P ,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,R ,P ,R ,,,,,,,F ,,,
339-U1386B-27X-CC-PAL-FORAM,339,U1386,B,27,27-CC,X,CC,PAL,FORAM,0,5,244.83,244.88,B ,,G ,D ,A ,P ,,,,A ,P ,,P ,,P ,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,P ,R ,,,,,,,R ,,,
339-U1386B-28X-CC-PAL-FORAM,339,U1386,B,28,28-CC,X,CC,PAL,FORAM,0,5,254.41,254.46,B ,,G ,D ,F ,F ,,,,A ,,,,,R ,P ,,,,,,,,P ,P ,,,,,,,,,,,R ,,,,,,,F ,R ,R ,,,,,,,P ,,,
339-U1386B-29X-CC-PAL-FORAM,339,U1386,B,29,29-CC,X,CC,PAL,FORAM,0,5,263.03,263.08,B ,,G ,D ,F ,F ,,,,F ,,,P ,R ,F ,,,,,,,,,F ,,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,P ,,,
339-U1386B-30X-CC-PAL-FORAM,339,U1386,B,30,30-CC,X,CC,PAL,FORAM,0,5,273.62,273.67,B ,,G ,D ,F ,P ,,,,R ,,,,,,,,,,,,,,P ,F ,,,,,,,,,,,P ,,,,,,,F ,A ,P ,,,,,,,R ,,,
339-U1386B-31X-CC-PAL-FORAM,339,U1386,B,31,31-CC,X,CC,PAL,FORAM,0,5,283.38,283.43,B ,,G ,D ,A ,F ,,,,F ,,,P ,P ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,F ,F ,F ,,,,,,,P ,,,
339-U1386B-32X-CC-PAL-FORAM,339,U1386,B,32,32-CC,X,CC,PAL,FORAM,0,5,293.03,293.08,B ,,G ,D ,D ,P ,,,,F ,,,,,P ,R ,,,,,,,,R ,P ,,,,,,,,,,,F ,P ,,,,,,R ,R ,R ,,,,,,,R ,,,
339-U1386B-33X-CC-PAL-FORAM,339,U1386,B,33,33-CC,X,CC,PAL,FORAM,0,5,299.78,299.83,B ,,G ,D ,A ,R ,,,,F ,,,,,R ,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,F ,F ,P ,,,,,,,F ,,,
339-U1386B-34X-CC-PAL-FORAM,339,U1386,B,34,34-CC,X,CC,PAL,FORAM,0,5,312.03,312.08,B ,,G ,D ,A ,A ,,,,A ,,,,P ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,P ,,,,,,,,,,
339-U1386B-35X-CC-PAL-FORAM,339,U1386,B,35,35-CC,X,CC,PAL,FORAM,0,5,321.79,321.84,B ,,G ,D ,F ,F ,,,,A ,,,,P ,F ,R ,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,F ,R ,F ,,,,,,,R ,,,
339-U1386B-36X-CC-PAL-FORAM,339,U1386,B,36,36-CC,X,CC,PAL,FORAM,0,5,330.97,331.02,B ,,G ,D ,A ,A ,,,,A ,,,,,F ,,,,,,,P ,,R ,,,,,,,,,,,,,,,,,,,A ,P ,F ,,,,,,,P ,,,
339-U1386B-37X-CC-PAL-FORAM,339,U1386,B,37,37-CC,X,CC,PAL,FORAM,0,5,340.86,340.91,B ,,G ,D ,A ,A ,,,,A ,,,,,R ,,,,,,,,,P ,P ,P ,,,,,,,,,,P ,,,P ,,,,A ,,F ,P ,,,,,,P ,,,
339-U1386B-38X-CC-PAL-FORAM,339,U1386,B,38,38-CC,X,CC,PAL,FORAM,0,5,350.3,350.35,R ,,G ,D ,A ,A ,,,,A ,,,,,F ,,,,,,,P ,,R ,,,,,,,,,,,,,,,,,,,A ,,F ,P ,,,,,,P ,,,
339-U1386B-39X-CC-PAL-FORAM,339,U1386,B,39,39-CC,X,CC,PAL,FORAM,0,5,359.75,359.8,B ,,G ,D ,A ,A ,,,,A ,,,,R ,P ,,,,,,,F ,,P ,R ,,,,,,,,,,,P ,,,,,,,F ,R ,R ,,,,,,,,Abundant diatoms and radiolaria. some diatoms piritizied,,
339-U1386B-40X-CC-PAL-FORAM,339,U1386,B,40,40-CC,X,CC,PAL,FORAM,0,5,369.26,369.31,B ,,M ,A ,A ,D ,,,,R ,,,,,F ,P ,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,F ,P ,P ,P ,,,,,,,very few foraminifers; radiolaria present (at least three different species); pyritic pellets in a shape similar to a coin that could be molds of large sized diatoms or radiolaria; potentially diatom valves (recrystalized?),,
339-U1386B-41X-CC-PAL-FORAM,339,U1386,B,41,41-CC,X,CC,PAL,FORAM,0,5,379.29,379.34,B ,,G ,D ,F ,P ,,,,,,,,P ,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,R ,D ,,P ,,,,,,R ,various types of lithic grains including basaltic tephra,,
339-U1386B-42X-CC-PAL-FORAM,339,U1386,B,42,42-CC,X,CC,PAL,FORAM,0,5,388.52,388.57,B ,,G ,D ,F ,P ,,,,F ,,,,P ,,,,,,,,P ,,P ,,,,,,,,,,,,P ,,,,,,,D ,R ,,,,,,,,P ,,,
339-U1386B-43X-CC-PAL-FORAM,339,U1386,B,43,43-CC,X,CC,PAL,FORAM,0,5,398.03,398.08,B ,,G ,A ,D ,F ,,,,R ,,,,P ,R ,,,,,P ,,P ,,,R ,,,,,,,,,,,,P ,P ,P ,,,,R ,,P ,,,,,,,F ,,,
339-U1386B-44X-CC-PAL-FORAM,339,U1386,B,44,44-CC,X,CC,PAL,FORAM,0,5,405.61,405.66,B ,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residue consist of detrital sand with no foraminifers,,
339-U1386B-45X-CC-PAL-FORAM,339,U1386,B,45,45-CC,X,CC,PAL,FORAM,0,5,407.88,407.93,B ,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Residue consist of abundant detrital sand, no forams",,
339-U1386B-45X-CC-W 0/2-PAL-FORAM,339,U1386,B,45,45-CC,X,CC,W,0/2-PAL-FORAM,0,2,407.6,407.62,,,G ,F ,A ,F ,,,,F ,,,,,R ,R ,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,D ,P ,F ,,,,,,,,,,
339-U1386B-46X-CC-PAL-FORAM,339,U1386,B,46,46-CC,X,CC,PAL,FORAM,0,5,423.61,423.66,B ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"residue consist of abundant detrital grains, individual specimens of G. bulloides, G. inflata, N. pachyderma dex and sin, G. calida and O. universa were found",,
339-U1386B-47X-CC-PAL-FORAM,339,U1386,B,47,47-CC,X,CC,PAL,FORAM,0,5,428.89,428.94,B ,,G ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"residue formed by detrital sands, only two specimens of planktonic foraminifers were found. N. atlantica dex encrusted and G. bulloides",,
339-U1386B-48X-CC-PAL-FORAM,339,U1386,B,48,48-CC,X,CC,PAL,FORAM,0,5,446.62,446.67,B ,,G ,D ,A ,F ,,,,F ,,,,,,,,,,P ,,,,,F ,,,,,,,,,,,,,,,R ,,,F ,F ,R ,,,,,,,R ,,,
339-U1386B-49X-CC-PAL-FORAM,339,U1386,B,49,49-CC,X,CC,PAL,FORAM,0,5,451.11,451.16,B ,,G ,D ,A ,,,,,F ,,,,,,,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,R ,A ,R ,,,,,,,R ,,,
339-U1386B-50X-CC-PAL-FORAM,339,U1386,B,50,50-CC,X,CC,PAL,FORAM,0,5,455.73,455.78,B ,,VG ,A ,A ,A ,,F ,,F ,,,P ,P ,,,,,,P ,,,,,R ,,,,,,,,,,,,,,,,,,F ,P ,P ,,,,,,,P ,,,
