Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Dentoglobigerina spp.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinella spp.,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) praemargaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Mutabella mirabilis,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina praeatlantica,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri (S),Paragloborotalia mayeri (D),Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa (S),Paragloborotalia pseudocontinuosa (D),Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera (S),Paragloborotalia semivera (D),Paragloborotalia semivera,Paragloborotalia siakensis,Paragloborotalia siakensis (S),Paragloborotalia siakensis (D),Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella angustiumbilicata,Tenuitella clemenciae,Tenuitella gemma,Tenuitella munda,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group
321-U1338A-5H-2-W 117/118-FORAM72,321,U1338,A,5,5-2,H,2,W,117/118-FORAM72,0,0,33.87,33.87,VG,97,PL5,Dominant coiling direction of Pulleniatina is dextral,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,P,F,,,P,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,P,,,,,,,,,,F,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,F,,,A,,,,,,,,,,,,
321-U1338A-5H-CC-PAL,321,U1338,A,5,5-CC,H,CC,PAL,,0,0,41.25,41.25,P,21,PL3,"surface dissolution, fragmentation: dominant coiling direction of Pulleniatina is dextral",,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,R,,P,,,,P,,,R,,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,R,R,,,,,,,,,,R,,,,,P,,R,D,,,,,,,,,,,,,P,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,R,,,,,,,,,
321-U1338A-6H-3-W 118/120-FORAMP1,321,U1338,A,6,6-3,H,3,W,118/120-FORAMP1,0,0,44.88,44.88,P,41,PL3,Infilled: Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,R,,R,,R,,,F,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,A,,R,,,,,,,,,,R,,,,,,,R,D,,,,,,,,,,,,,P,,,R,,,,R,P,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,R,,,R,,,,,,,,,
321-U1338A-6H-5-W 118/120-FORAMP4,321,U1338,A,6,6-5,H,5,W,118/120-FORAMP4,0,0,47.88,47.88,M,40,PL3,Dominant coiling direction of Pulleniatina is dextral,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,R,,R,,F,,R,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,R,,,,,,,,,,,A,,,,,,,F,A,,,,,P,,,,,,,,R,,,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,R,,R,,,F,,,,,,,,,
321-U1338A-6H-CC-PAL,321,U1338,A,6,6-CC,H,CC,PAL,,0,0,50.7,50.7,M,23,PL2,fragmentation: dominant coiling direction of Pulleniatina is sinistral,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,R,,R,,,,F,,,R,,R,,F,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,A,R,,,,,,,,,,,R,,,,,R,,R,A,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,A,,,,,,,,,
321-U1338A-7H-2-W 52/54-FORAM96,321,U1338,A,7,7-2,H,2,W,52/54-FORAM96,0,0,52.22,52.22,M,67,PL2,Infilled: Dominant coiling direction of Pulleniatina is sinistral,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,R,,,P,,,,,,,R,,R,,F,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,P,,P,R,,,F,P,,,,,,,,,,,F,,,,,,,R,D,,,,,P,,,,,,,,P,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,P,,,R,,,,,,,,,
321-U1338A-7H-4-W 58/60-FORAM99,321,U1338,A,7,7-4,H,4,W,58/60-FORAM99,0,0,55.28,55.28,G,33,PL1,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,R,,F,,,,,,,,,,R,,,,A,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,P,,P,,R,R,,,F,,R,,,,,,,,,,,,,,,,,R,R,,R,,,P,,P,,,,,,P,P,,,P,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,A,R,R,,R,R,,,,,,,,,
321-U1338A-7H-CC-PAL,321,U1338,A,7,7-CC,H,CC,PAL,,0,0,60.14,60.14,G,57,PL1,diatom rich,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,,P,,,,R,,,,,F,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,R,,R,A,,P,,,,,R,,,,,,R,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,A,,,,,,,,,
321-U1338A-8H-2-W 43/45-FORAM83,321,U1338,A,8,8-2,H,2,W,43/45-FORAM83,0,0,61.63,61.63,M,65,PL1,slightly infilled,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,P,,P,,,P,,,,,,,R,,F,,F,,F,,,F,,R,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,R,,,,,F,,R,A,,R,,P,P,,P,,,,,,P,,,,P,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,,R,,,,,,,,,
321-U1338A-8H-5-W 106/108-FORAM87,321,U1338,A,8,8-5,H,5,W,106/108-FORAM87,0,0,66.76,66.76,M,53,PL1,slightly infilled,,,,,,,,,,,,F,R,R,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,R,,R,,R,,,,,F,,R,,,,,,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,R,,P,D,,,,R,,,P,,,,,,P,P,,,P,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,F,,,,,,,,,
321-U1338A-8H-CC-PAL,321,U1338,A,8,8-CC,H,CC,PAL,,0,0,69.65,69.65,G,76,PL1,,,,,P,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,P,,,,F,,,,,A,,R,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,,,,R,,,,,R,,F,A,,R,,,,,,,,,,,R,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,P,,,P,A,,,,,,,,,
321-U1338A-9H-3-W 24/26-FORAM,321,U1338,A,9,9-3,H,3,W,24/26-FORAM,0,0,72.44,72.44,G,46,PL1,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,P,,,P,,,,,R,,R,,R,,R,,F,P,,A,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,R,F,,,,,P,,P,,,,,,R,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,A,,,,,,,,,
321-U1338A-9H-6-W 118/120-FORAM48,321,U1338,A,9,9-6,H,6,W,118/120-FORAM48,0,0,77.88,77.88,G,48,PL1,,,,,,,,,,,,,R,R,,,,,,,P,,,,P,,,,,,,,,,R,,,,,,,,,,P,,,,R,,R,P,,R,,R,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,A,R,,,,,,,,,,,P,,,,,F,,R,A,,R,,P,P,,P,,,,,,R,,,,P,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,A,,,,,,,,,
321-U1338A-9H-CC-PAL,321,U1338,A,9,9-CC,H,CC,PAL,,0,0,79.09,79.09,M,71,PL1,slightly infilled,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,R,,F,,R,,,R,,A,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,P,P,,,,,,,,,,R,,,,,F,,R,A,,R,,,,,P,,,,,,R,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,A,,,,,,,,,
321-U1338A-10H-3-W 47/49-FORAM74,321,U1338,A,10,10-3,H,3,W,47/49-FORAM74,0,0,82.17,82.17,G,61,PL1,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,R,,,P,,,,,R,,R,,,,A,,F,R,,F,,A,,,R,,,F,,,,,,,,,,,,,,,P,,,,P,,,,R,,,,,,,,,,,,,,,,,R,,R,R,,R,,R,P,,P,,,,,,R,,,,P,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,
321-U1338A-10H-6-W 108/110-FORAM75,321,U1338,A,10,10-6,H,6,W,108/110-FORAM75,0,0,87.28,87.28,M,21,M14,infilled,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,A,,R,,,R,,F,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,F,,,,,R,,P,P,,,,,,,,P,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-10H-CC-PAL,321,U1338,A,10,10-CC,H,CC,PAL,,0,0,88.73,88.73,M,32,M14,slightly colored: abnormal form of G. menardii,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,P,,R,,A,,,,,A,,R,,,,R,,P,,,,,,,,,,,P,,,,,,,,P,,,,A,,R,,,,,,,,,,,,,,P,F,,,,,R,,,P,,,,,,,,R,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,
321-U1338A-11H-3-W 100/102-FORAM41,321,U1338,A,11,11-3,H,3,W,100/102-FORAM41,0,0,92.2,92.2,M,18,M14,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,F,,R,,,R,,P,,,,R,,A,,,,,,,,,,,,,,,P,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,P,,P,P,,P,,,,,,P,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-11H-5-W 65/67-FORAM42,321,U1338,A,11,11-5,H,5,W,65/67-FORAM42,0,0,94.85,94.85,M,14,M14,"infilled, encrusted",,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,R,,R,,F,,R,,,F,,P,,,,P,,A,,,,,,,,,,,,,,,,,,,P,,,,A,,,P,,,,,,,,,,,,,P,R,,,,,R,,R,,,,,,,,,,P,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,D,,,,,,,,,
321-U1338A-11H-CC-PAL,321,U1338,A,11,11-CC,H,CC,PAL,,0,0,97.05,97.05,G,54,M14,,,,,,,,,,,,,A,,,,,,,,R,,,,,,,,,,,,,,R,,,P,,,,,R,,P,,R,,A,,,,,F,,R,,,,,,A,,,,,,,,,,,,,,,P,,P,,P,,,,A,,,,,,,,,,,,,,,,,P,,P,,,R,,,P,,P,,,,,,P,,,,P,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-12H-2-W 61/63-FORAM15,321,U1338,A,12,12-2,H,2,W,61/63-FORAM15,0,0,99.81,99.81,P,38,M14,surface dissolution,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,F,,,F,,R,,,,,,A,,,,,,,,,,,,,,,,,P,,,,,,A,,,P,,,,,,,,,,,,,P,R,,,,,,,R,P,,P,,,,,,P,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
321-U1338A-12H-4-W 58/60-FORAM18,321,U1338,A,12,12-4,H,4,W,58/60-FORAM18,0,0,102.78,102.78,G,55,M14,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,F,,R,,,R,,R,,,,,,F,,,,,,,,,,,,,P,,,P,P,,,,,,R,,,P,,,,,,,,,,,,,,R,,,,,R,,R,P,,P,,,,,,P,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,D,,,,,,,,,
