Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1499B-12R-CC-PAL-FORAM,0,5,753.9,753.95,,,,,,,,,,,,,,P,P,88,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1499,B,12,R,CC,PAL
367-U1499B-13R-CC-PAL-FORAM,0,5,770.49,770.54,,,,,,,,,,,,,,G,R,95,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,F,,,,,A,R,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,shallow water benthic foramonifera,,,,367,U1499,B,13,R,CC,PAL
367-U1499B-14R-CC-PAL-FORAM,0,5,777.73,777.78,,,,,,,,,,,,,,M,R,90,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,F,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,shallow water benthic forams,,,,367,U1499,B,14,R,CC,PAL
367-U1499B-15R-CC-PAL-FORAM,0,5,788.11,788.16,,,,,,,,,,,,,,M,C,,,,,,,,,P,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,F,R,,,,,,,,,,,,,,,R,,R,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,367,U1499,B,15,R,CC,PAL
367-U1499B-16R-CC-PAL-FORAM,0,5,800.16,800.21,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,16,R,CC,PAL
367-U1499B-17R-CC-PAL-FORAM,0,5,808.97,809.02,,,,,,,,,,,,,,G,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,367,U1499,B,17,R,CC,PAL
367-U1499B-18R-CC-PAL-FORAM,0,5,817.4,817.45,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,18,R,CC,PAL
367-U1499B-19R-CC-PAL-FORAM,0,5,822.52,822.57,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,19,R,CC,PAL
367-U1499B-20R-CC-PAL-FORAM,0,5,832.64,832.69,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,20,R,CC,PAL
367-U1499B-21R-CC-PAL-FORAM,0,5,843.18,843.23,,,,,,,,,,,,,,P,P,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of deep sea agglutinated BF,,,,367,U1499,B,21,R,CC,PAL
367-U1499B-22R-CC-PAL-FORAM,0,5,855.7,855.75,,,,,,,,,,,,,,M,P,95,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,22,R,CC,PAL
367-U1499B-23R-CC-PAL-FORAM,0,5,867.41,867.46,,,,,,,,,,,,,,P,P,20,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,lots of deep sea agglutinated BF,,,,367,U1499,B,23,R,CC,PAL
367-U1499B-24R-2-W 46/48-FORAM,0,2,870.36,870.38,,,,,,,,,,,,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,367,U1499,B,24,R,2,W
367-U1499B-24R-CC-PAL-FORAM,0,5,878.44,878.49,,,,,,,,,,,,,,P,P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of deep sea agglutinated BF,,,,367,U1499,B,24,R,CC,PAL
367-U1499B-25R-CC-PAL-FORAM,0,5,882.13,882.18,,,,,,,,,,,,,,M,P,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,25,R,CC,PAL
367-U1499B-26R-CC-PAL-FORAM,0,5,895.46,895.51,,,,,,,,,,,,,,P,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,26,R,CC,PAL
367-U1499B-27R-CC-PAL-FORAM,0,5,901.33,901.38,,,,,,,,,,,,,,M,P,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,27,R,CC,PAL
367-U1499B-28R-CC-PAL-FORAM,0,5,913.39,913.44,,,,,,,,,,,,,,M,C,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,28,R,CC,PAL
367-U1499B-29R-CC-PAL-FORAM,0,5,923.05,923.1,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,29,R,CC,PAL
367-U1499B-30R-2-W 35/37-FORAM,0,2,928.34,928.36,,,,,,,,,,,,,,M,P,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,2,W
367-U1499B-30R-3-W 76/78-FORAM,0,2,930.07,930.09,,,,,,,,,,,,,,M,P,,,,,F,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,3,W
367-U1499B-30R-4-W 98/100-FORAM,0,2,931.39,931.41,,,,,,,,,,,,,,M,P,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,4,W
367-U1499B-30R-5-W 59/61-FORAM,0,2,932.29,932.31,,,,,,,,,,,,,,M,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,5,W
367-U1499B-30R-6-W 54/54-NANNO-FORAM,0,4,933.78,933.82,,,,,,,,,,,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,6,W
367-U1499B-30R-CC-PAL-FORAM,0,1,933.66,933.67,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,CC,PAL
367-U1499B-34R-2-PAL(52-60)-FORAM,0,5,967.34,967.39,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,34,R,2,PAL
367-U1499B-36R-1-PAL-FORAM,0,5,985.11,985.16,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,36,R,1,PAL
367-U1499B-37R-1-W 0/5-FORAM,0,5,994.5,994.55,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,37,R,1,W
367-U1499B-38R-1-PAL-FORAM,0,5,1005.69,1005.74,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,38,R,1,PAL
