Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1500A-19R-CC-PAL-FORAM,0,3,680,680.03,,,,,,,,,,,,,,P,R,70,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,"lot of shallow water benthic foraminifers, and several ostracods",,,,367,U1500,A,19,R,CC,PAL,495608dca782de1a08b01d1d6ed38f11
367-U1500A-20R-CC-PAL-FORAM,0,3,689.7,689.73,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,20,R,CC,PAL,09c014f3de61f39fcedcc5d588297e5a
367-U1500A-21R-CC-PAL-FORAM,0,5,701.92,701.97,,,,,,,,,,,,,,P,P,70,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,21,R,CC,PAL,518278efd9a9312738785f1a6ba1b949
367-U1500A-22R-CC-PAL-FORAM,0,5,710.5,710.55,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,22,R,CC,PAL,a5f85d69b9f4a430df0b6f3da3030a17
367-U1500A-24R-CC-PAL-FORAM,0,5,736.96,737.01,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,24,R,CC,PAL,ab73f8704a97139a18d94142502dacc6
367-U1500A-25R-CC-PAL-FORAM,0,5,746.28,746.33,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,25,R,CC,PAL,8394c77d11168382e1ce1657778db1c1
367-U1500A-26R-CC-PAL-FORAM,0,5,755.39,755.44,,,,,,,,,,,,,,M,R,50,,,,,,,,R,,,,P,,,,,P,,,,,,,,,,,,,R,,,,,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,lots of upper slope BF,,,,367,U1500,A,26,R,CC,PAL,8a4f963d7aca6eb81379761e845587f1
367-U1500A-27R-CC-PAL-FORAM,0,5,765.49,765.54,,,,,,,,,,,,,,M,R,70,,,,,,,,F,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,R,,,,R,,,,A,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,"lot of shallow water benthic foraminifers, coral reef BF",,,,367,U1500,A,27,R,CC,PAL,852ebe6a8f86d2f5cb3ee8208721cd5b
367-U1500A-28R-1-PAL-FORAM,0,2,767.3,767.32,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,28,R,1,PAL,5c5454854708e6be29a7da6c62b91c6a
367-U1500A-29R-1-PAL-FORAM,0,5,777.79,777.84,,,,,,,,,,,,,,M,R,90,,,,,,,,A,P,,,P,,,,,,,,,,,,,,,,,P,P,,,,,F,,,,R,,,,D,,F,,,,,,,,,,,,,,,P,R,,P,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,P,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,"Polyperibola christiani, see shallow water BF",,,,367,U1500,A,29,R,1,PAL,e19ac06dfa6224856b14795068f28177
367-U1500A-31R-CC-PAL-FORAM,0,5,796.4,796.45,,,,,,,,,,,,,,G,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,31,R,CC,PAL,c0abf9454142cc7b490945cfaf98cb31
367-U1500A-32R-1-PAL-FORAM,0,2,806.28,806.3,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,32,R,1,PAL,346e71196f42d853cd853dc2d30d7b9f
367-U1500A-33R-CC-PAL-FORAM,0,5,819.01,819.06,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,33,R,CC,PAL,3e3f97b3a3c40f866870954064f98ffe
367-U1500A-34R-CC-PAL-FORAM,0,5,826.33,826.38,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,34,R,CC,PAL,313294836de12fb1aaef8e5906675014
367-U1500A-36R-CC-PAL-FORAM,0,5,852.82,852.87,,,,,,,,,,,,,,M,P,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,367,U1500,A,36,R,CC,PAL,d1de0fe672266c9989c6c32bbb682a27
