Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1453A-17F-CC-PAL-FORAM,0,5,90.93,90.98,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,17,F,CC,PAL
354-U1453A-18F-CC-PAL-FORAM,0,9,94.57,94.66,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,18,F,CC,PAL
354-U1453A-19F-CC-PAL-FORAM,0,5,100.39,100.44,,,,,,,,,VR,M [P38],L [F02],100,1,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,19,F,CC,PAL
354-U1453A-20F-CC-PAL-FORAM,0,6,104.06,104.12,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,20,F,CC,PAL
354-U1453A-21F-CC-PAL-FORAM,0,8,108.7,108.78,,,,,,,,,R,M [P38],L [F02],98,1,,,,,,,,,,,R,,,R,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1453,A,21,F,CC,PAL
354-U1453A-22F-CC-PAL-FORAM,0,7,113.68,113.75,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,22,F,CC,PAL
354-U1453A-23F-CC-PAL-FORAM,0,5,119.13,119.18,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R,G [P38],L [F02],100,1,,,,,,,,,R,,,,R,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,354,U1453,A,23,F,CC,PAL
354-U1453A-24F-CC-PAL-FORAM-FORAM(>63),0,5,123.21,123.26,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,24,F,CC,PAL
354-U1453A-25F-CC-PAL-FORAM-FORAM(63-150),0,5,127.42,127.47,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,25,F,CC,PAL
354-U1453A-26F-CC-PAL,0,5,132.2,132.25,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,26,F,CC,PAL
354-U1453A-27F-CC-PAL,0,5,137.32,137.37,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,27,F,CC,PAL
354-U1453A-28F-CC-PAL-FORAM,0,5,142.27,142.32,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,28,F,CC,PAL
354-U1453A-29H-7-PAL,0,5,148.98,149.03,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,M [P38],S [F02],90,3,,,tiny bugs,,,,,,R,,,,R,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,354,U1453,A,29,H,7,PAL
354-U1453A-30F-CC-PAL,0,5,154.14,154.19,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,M [P38],VS [F02],95,4,,,lots of rads,,,,,,,,,,,,R,,,,F,,C,R,R,,,,,,,,,,,,,,,,,,,,,R,,C,R,,,,,,,,F,,R,,,,,A,,,F,,,,,,,,,,,354,U1453,A,30,F,CC,PAL
354-U1453A-31F-CC-PAL-FORAM,0,10,158.74,158.84,,,,,,,,,A,M [P38],S [F02],,3,,,,,,,,,,,,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,F,,,,,,,C,,,F,,,,,,,,,,,354,U1453,A,31,F,CC,PAL
354-U1453A-32F-CC-PAL,0,4,160.29,160.33,,,,,,,,,VR,M [P38],M [F02],93,2,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,354,U1453,A,32,F,CC,PAL
354-U1453A-33F-CC-PAL,0,5,168.18,168.23,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,absent,,,,354,U1453,A,33,F,CC,PAL
354-U1453A-36F-CC-PAL-FORAM,0,5,182.29,182.34,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,36,F,CC,PAL
354-U1453A-38F-CC-PAL-FORAM,0,5,189.3,189.35,,,,,,,,,VR,G [P38],,100,,,,only 3 planktics,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1453,A,38,F,CC,PAL
354-U1453A-40F-CC-PAL,0,5,201.53,201.58,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,F,G [P38],L [F02],95,1,,,,,,,,,,,,,R,,,,,,,R,C,C,,,,R,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,F,,F,,,,,R,,,R,,,,,,present,absent,,,,354,U1453,A,40,F,CC,PAL
354-U1453A-42F-CC-PAL-FORAM,0,5,210.42,210.47,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R,VG [P38],L [F02],100,1,,,G.uvula R,R,,,,,,,,,,C,R,,,,F,,C,R,,,,R,,,,,,,,,,,,,,,,,,R,,F,R,,,,,,,,C,,R,,,,,C,,,R,,,,,,,,,,,354,U1453,A,42,F,CC,PAL
