Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1459B-13F-CC-PAL-NANNO,0,10,68.8,68.9,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,356,U1459,B,13,F,CC,PAL,22f90682b989cd4fe2a30fefcec9cf6a
356-U1459B-14F-CC-PAL-NANNO,0,5,73.56,73.61,,,VG,A,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,C,,,,P,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,356,U1459,B,14,F,CC,PAL,ffc2caac2f7ff2e9abef3a0adef79549
356-U1459B-15F-CC-PAL-NANNO,0,5,78.34,78.39,,,G,C,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,C,,,,,R,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,15,F,CC,PAL,9fb878287853f6a63716a473f57cbad4
356-U1459B-16F-CC-PAL-NANNO,0,5,83.15,83.2,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,,,,,,,,,,,,P,,,,P,,,,,,P,,P,,,,,,,,356,U1459,B,16,F,CC,PAL,276c7b2b5c6f6acca3335d2d15df92b6
356-U1459B-17F-CC-PAL-NANNO,0,5,88.02,88.07,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small geph 2 micron,,,,356,U1459,B,17,F,CC,PAL,bb330247d00daf65a07cca7d3a45f8e3
356-U1459B-18F-CC-PAL-NANNO,0,5,92.51,92.56,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,P,,,R,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,356,U1459,B,18,F,CC,PAL,c2f7511646ca14e8149104b5b815580a
356-U1459B-19F-CC-PAL-NANNO,0,5,97.48,97.53,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,reworked specimen of R. bisecta (Eocene-NN1),,,,356,U1459,B,19,F,CC,PAL,6d751664a12ce28a45cda4186c2d9d23
356-U1459B-20F-CC-PAL-NANNO,0,5,102.19,102.24,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,,reworked specimen of R. bisecta (Eocene-NN1),,,,356,U1459,B,20,F,CC,PAL,5865ea1906c3b2d01c793adf58d84b39
356-U1459B-21F-CC-PAL-NANNO,0,5,106.6,106.65,,,G,A,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,A,C,,C,,,R,,R,,R,,,,,,,,,,,,,,,,P,,,,reworked specimen of R. bisecta (Eocene-NN1),,,,356,U1459,B,21,F,CC,PAL,dc65420ef471e872f5147cb95602fcc0
356-U1459B-22F-CC-PAL-NANNO,0,5,111.57,111.62,,,G,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,"R. pseudoumbilicus, 6 micron",,,,356,U1459,B,22,F,CC,PAL,c7980e756f5e6b6024002deab3405a71
356-U1459B-23F-CC-PAL-NANNO,0,5,115.82,115.87,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,A,C,,C,,,R,,,,R,,,,,,,P,,,,,,,,,P,,,,,,,,356,U1459,B,23,F,CC,PAL,7aebe180a482cdc8a8ce8304238f14e4
356-U1459B-24F-CC-PAL-NANNO,0,5,120.85,120.9,,,M,C,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,C,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,dolomite rhombs present,,,,356,U1459,B,24,F,CC,PAL,f203b26d81f43b47e70e1c902b66bac1
356-U1459B-25F-CC-PAL-NANNO,0,5,122.85,122.9,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,R,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,,"R. pseudoumbilicus, 6 micron",,,,356,U1459,B,25,F,CC,PAL,0fd629a51cee1707cff0320e2bacb432
356-U1459B-26F-CC-PAL-NANNO,0,5,127.32,127.37,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,A,C,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,R. pseudoumbilicus >7 micron (photomicrograph),,,,356,U1459,B,26,F,CC,PAL,d2edd7f70da264a3fee62bdca8bd8b0d
356-U1459B-27F-CC-PAL-NANNO,0,5,130.59,130.64,,,G,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,A,C,,C,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,27,F,CC,PAL,091daa729c1e81ef3528f2d95a30c0c1
356-U1459B-28F-CC-PAL-NANNO,0,5,136.98,137.03,,,VG,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,A,C,,C,,,P,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,356,U1459,B,28,F,CC,PAL,0962f9174387d130f4fc0fa23246241d
356-U1459B-29F-CC-PAL-NANNO,0,5,141.78,141.83,,,G,C,,,R,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,F,R,,C,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,356,U1459,B,29,F,CC,PAL,d09e844be52eb8c11255b3d250b09651
356-U1459B-30F-CC-PAL-NANNO,0,5,146.54,146.59,,,G,F,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,C,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,30,F,CC,PAL,05d8ce1fd1f18335187d94159bd4271b
356-U1459B-31F-CC-PAL-NANNO,0,5,151.21,151.26,,,G,C,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,F,F,,C,,,P,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,356,U1459,B,31,F,CC,PAL,c1b27e36ac0b16d173d2ea40b34312a6
356-U1459B-32F-CC-PAL-NANNO,0,5,155.97,156.02,,,G,F,,,P,,,,,,,,,,P,,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,F,,C,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,32,F,CC,PAL,18e1d87a640ed94a078e08b0dd66edc9
356-U1459B-33F-CC-PAL-NANNO,0,5,160.55,160.6,,,G,F,,,,,,,,,,,,,R,,,,F,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,33,F,CC,PAL,8b34ea09946ba3eb9ab0829f3cc66760
356-U1459B-34F-CC-PAL-NANNO,0,5,165.21,165.26,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,R,,,R,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,34,F,CC,PAL,e306df908313a125b6e00103433174b8
356-U1459B-35F-CC-PAL-NANNO,0,5,169.87,169.92,,,G,C,,,R,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,C,,F,,,R,,,,R,,,,,,,,,,,,,,,,P,,,,H. intermedia (photomicrograph),,,,356,U1459,B,35,F,CC,PAL,3c3367d3fbfd73eec477e39c3eb58366
356-U1459B-36F-CC-PAL-NANNO,0,5,173.74,173.79,,,G,C,,,,,,,,,,,,,P,,,,R,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,F,,F,,,R,,,,R,,,,R,,,P,,,,,,,,,,,,,D. challengeri (photomicrograph),,,,356,U1459,B,36,F,CC,PAL,7c0fc950ea5e0952598ef32bc504c7ee
356-U1459B-37F-CC-PAL-NANNO,0,5,179.5,179.55,,,G,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,37,F,CC,PAL,9a569f3a39d2c127e92be9d5da5963e9
356-U1459B-38F-CC-PAL-NANNO,0,5,184.05,184.1,,,G,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,38,F,CC,PAL,1cb53138d183c3886f9115d26a19aff1
356-U1459B-39F-CC-PAL-NANNO,0,5,186.87,186.92,,,G,C,,,,,,,,,,,,,P,,R,,R,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,F,,,R,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,356,U1459,B,39,F,CC,PAL,3ce8b8252daf2c1f59f746fb7140ab8e
356-U1459B-40F-CC-PAL-NANNO,0,5,190.53,190.58,,,G,R,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,40,F,CC,PAL,998469d8200687a7b384d79dd58081a6
356-U1459B-41F-CC-PAL-NANNO,0,8,197.94,198.02,,,G,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,F,,,,R,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,356,U1459,B,41,F,CC,PAL,f0138d4cea08c898e0adf4438b2be497
356-U1459B-42F-CC-PAL-NANNO,0,5,201.14,201.19,,,G,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,,,,R,,,,R,,,,,,,,,,,,P,,,,,,,,356,U1459,B,42,F,CC,PAL,666f0ebe568aa5a433286d5f97e6dc0c
356-U1459B-43F-CC-PAL-NANNO,0,8,204.81,204.89,,,M,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,43,F,CC,PAL,e2a803e1fc39e7d18cfe7cfa65767b9d
356-U1459B-44F-CC-PAL-NANNO,0,8,209.76,209.84,,,G,F,,,R,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,356,U1459,B,44,F,CC,PAL,052c1c54873106127d78eb147464d49f
356-U1459B-46F-CC-PAL-NANNO,0,5,218.89,218.94,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,46,F,CC,PAL,3b77e7f6421ffcff68cf56f14e737cf6
356-U1459B-47X-CC-NANNO,0,0,219.17,219.17,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,light grey mudstone in CC: 1-2 micron silicates (clay) and some micrite grains (4-10 micron).,,,,356,U1459,B,47,X,CC,NANNO,891a65d1409bd252c795d58b30395910
356-U1459B-48X-CC-PAL-NANNO,0,2,223.9,223.92,,,VG,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,F,,,R,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,356,U1459,B,48,X,CC,PAL,6236fe64248817a4a28e9c3a1d8bdd36
356-U1459B-49X-CC-PAL-NANNO,0,1,228.9,228.91,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,P,P,,,,,,,,,,,,,,,,,,P,P,,,SS prepared from suspension after untrasonic bath of consolidated sediment,,,,356,U1459,B,49,X,CC,PAL,33e2aaa9ca2dc75220ea252cdd13d33b
